estimate_id,work_id,prepared_date,technical_sanction_date,estimated_amount,contingency_pct,schedule_of_rates_year,technical_authority,synthetic_demo_data
EST-DEMO-000017,MPLAD-WRK-000017,2023-07-07,2023-08-10,3240498.97,2.2,2023,Superintending Engineer (Dharwad Demo),True
EST-DEMO-000018,MPLAD-WRK-000018,2023-08-06,2023-09-26,440729.12,4.5,2023,Superintending Engineer (Jaipur Demo),True
EST-DEMO-000019,MPLAD-WRK-000019,2024-09-27,2024-11-04,705049.8,2.3,2023,Superintending Engineer (Salem Demo),True
EST-DEMO-000020,MPLAD-WRK-000020,2024-06-19,2024-07-25,1628784.74,3.2,2023,Superintending Engineer (Gaya Demo),True
EST-DEMO-000021,MPLAD-WRK-000021,2022-08-30,2022-10-12,543152.57,3.8,2023,Superintending Engineer (Visakhapatnam Demo),True
EST-DEMO-000022,MPLAD-WRK-000022,2024-06-10,2024-07-24,824056.65,3.0,2023,Superintending Engineer (Pune Demo),True
EST-DEMO-000023,MPLAD-WRK-000023,2023-08-13,2023-09-30,443822.42,4.0,2023,Superintending Engineer (Prayagraj Demo),True
EST-DEMO-000024,MPLAD-WRK-000024,2022-11-26,2022-12-22,1570277.36,4.1,2023,Superintending Engineer (Warangal Demo),True
EST-DEMO-000025,MPLAD-WRK-000025,2024-04-21,2024-06-09,2514693.46,2.8,2023,Superintending Engineer (Cuttack Demo),True
EST-DEMO-000026,MPLAD-WRK-000026,2022-07-31,2022-09-01,3334512.27,3.9,2023,Superintending Engineer (Agra Demo),True
EST-DEMO-000027,MPLAD-WRK-000027,2024-08-24,2024-09-20,634595.68,3.9,2023,Superintending Engineer (Jodhpur Demo),True
EST-DEMO-000028,MPLAD-WRK-000028,2022-12-29,2023-02-23,1339441.5,3.3,2023,Superintending Engineer (Amritsar Demo),True
EST-DEMO-000029,MPLAD-WRK-000029,2022-07-21,2022-08-20,1592664.8,4.6,2023,Superintending Engineer (Gwalior Demo),True
EST-DEMO-000030,MPLAD-WRK-000030,2023-02-13,2023-04-03,1001211.89,3.3,2023,Superintending Engineer (Patna Demo),True
EST-DEMO-000031,MPLAD-WRK-000031,2023-03-08,2023-04-15,1051105.61,4.6,2023,Superintending Engineer (Nagpur Demo),True
EST-DEMO-000032,MPLAD-WRK-000032,2022-04-17,2022-05-25,1519663.42,4.4,2023,Superintending Engineer (Ahmedabad Demo),True
EST-DEMO-000033,MPLAD-WRK-000033,2022-12-30,2023-02-23,602900.28,4.5,2023,Superintending Engineer (Chennai Demo),True
EST-DEMO-000034,MPLAD-WRK-000034,2023-08-22,2023-09-28,1940546.54,2.3,2023,Superintending Engineer (Bengaluru Urban Demo),True
EST-DEMO-000035,MPLAD-WRK-000035,2024-03-25,2024-04-22,899939.43,3.4,2023,Superintending Engineer (Nashik Demo),True
EST-DEMO-000036,MPLAD-WRK-000036,2023-08-07,2023-09-08,1415141.59,2.5,2023,Superintending Engineer (Krishna Demo),True
EST-DEMO-000037,MPLAD-WRK-000037,2023-05-18,2023-06-10,2329283.05,4.1,2023,Superintending Engineer (Mysuru Demo),True
EST-DEMO-000038,MPLAD-WRK-000038,2024-01-21,2024-02-13,1599264.62,3.1,2023,Superintending Engineer (Kota Demo),True
EST-DEMO-000039,MPLAD-WRK-000039,2023-09-26,2023-10-24,1368410.65,2.5,2023,Superintending Engineer (Thane Demo),True
EST-DEMO-000040,MPLAD-WRK-000040,2022-10-25,2022-11-30,681342.92,3.7,2023,Superintending Engineer (Gwalior Demo),True
EST-DEMO-000041,MPLAD-WRK-000041,2024-11-08,2024-12-09,1074796.16,3.7,2023,Superintending Engineer (Varanasi Demo),True
EST-DEMO-000042,MPLAD-WRK-000042,2022-08-16,2022-09-05,1143971.72,3.7,2023,Superintending Engineer (Warangal Demo),True
EST-DEMO-000043,MPLAD-WRK-000043,2024-05-02,2024-05-18,1301550.31,3.3,2023,Superintending Engineer (Patna Demo),True
EST-DEMO-000044,MPLAD-WRK-000044,2024-11-06,2024-12-23,584263.88,3.8,2023,Superintending Engineer (Dharwad Demo),True
EST-DEMO-000045,MPLAD-WRK-000045,2022-10-27,2022-11-11,671154.57,4.6,2023,Superintending Engineer (Kanpur Nagar Demo),True
EST-DEMO-000046,MPLAD-WRK-000046,2024-11-30,2025-01-26,838224.84,2.3,2023,Superintending Engineer (Ajmer Demo),True
EST-DEMO-000047,MPLAD-WRK-000047,2024-02-08,2024-03-17,1397041.34,4.6,2023,Superintending Engineer (Khordha Demo),True
EST-DEMO-000048,MPLAD-WRK-000048,2023-02-19,2023-04-06,1228203.7,4.2,2023,Superintending Engineer (Jaipur Demo),True
EST-DEMO-000049,MPLAD-WRK-000049,2022-12-09,2023-01-16,2557837.11,4.1,2023,Superintending Engineer (Khordha Demo),True
EST-DEMO-000050,MPLAD-WRK-000050,2022-11-01,2022-12-18,1644426.19,2.1,2023,Superintending Engineer (Hyderabad Demo),True
EST-DEMO-000051,MPLAD-WRK-000051,2024-04-07,2024-06-04,3562651.75,4.9,2023,Superintending Engineer (Varanasi Demo),True
EST-DEMO-000052,MPLAD-WRK-000052,2022-12-24,2023-02-07,601413.91,4.3,2023,Superintending Engineer (North 24 Parganas Demo),True
EST-DEMO-000053,MPLAD-WRK-000053,2024-05-15,2024-06-24,1173099.29,4.2,2023,Superintending Engineer (Purba Medinipur Demo),True
EST-DEMO-000054,MPLAD-WRK-000054,2023-05-07,2023-06-03,2060326.9,3.8,2023,Superintending Engineer (Kota Demo),True
EST-DEMO-000055,MPLAD-WRK-000055,2024-10-14,2024-11-06,1516919.54,2.9,2023,Superintending Engineer (Ajmer Demo),True
EST-DEMO-000056,MPLAD-WRK-000056,2023-02-24,2023-03-29,4716681.2,4.6,2023,Superintending Engineer (Pune Demo),True
EST-DEMO-000057,MPLAD-WRK-000057,2022-08-31,2022-09-26,1718520.05,2.0,2023,Superintending Engineer (Dakshina Kannada Demo),True
EST-DEMO-000058,MPLAD-WRK-000058,2024-03-09,2024-04-21,1867930.1,4.7,2023,Superintending Engineer (Agra Demo),True
EST-DEMO-000059,MPLAD-WRK-000059,2024-09-29,2024-11-14,3050320.27,2.6,2023,Superintending Engineer (Ajmer Demo),True
EST-DEMO-000060,MPLAD-WRK-000060,2023-07-11,2023-08-11,321333.74,4.1,2023,Superintending Engineer (Jodhpur Demo),True
EST-DEMO-000061,MPLAD-WRK-000061,2023-01-21,2023-02-24,644366.51,3.2,2023,Superintending Engineer (Hyderabad Demo),True
EST-DEMO-000062,MPLAD-WRK-000062,2023-01-17,2023-02-11,1081236.36,4.6,2023,Superintending Engineer (Prayagraj Demo),True
EST-DEMO-000063,MPLAD-WRK-000063,2022-12-19,2023-02-14,1385428.68,2.9,2023,Superintending Engineer (Kolkata Demo),True
EST-DEMO-000064,MPLAD-WRK-000064,2022-09-04,2022-09-23,897173.47,5.0,2023,Superintending Engineer (Mysuru Demo),True
EST-DEMO-000065,MPLAD-WRK-000065,2024-04-09,2024-05-18,1359165.3,3.1,2023,Superintending Engineer (Salem Demo),True
EST-DEMO-000066,MPLAD-WRK-000066,2024-12-06,2025-01-20,2080732.41,3.7,2023,Superintending Engineer (Dibrugarh Demo),True
EST-DEMO-000067,MPLAD-WRK-000067,2022-08-19,2022-09-17,1683137.37,4.7,2023,Superintending Engineer (Surat Demo),True
EST-DEMO-000068,MPLAD-WRK-000068,2022-11-28,2023-01-15,1450561.46,2.8,2023,Superintending Engineer (Ernakulam Demo),True
EST-DEMO-000069,MPLAD-WRK-000069,2022-04-11,2022-05-01,1985971.93,4.0,2023,Superintending Engineer (Coimbatore Demo),True
EST-DEMO-000070,MPLAD-WRK-000070,2024-03-24,2024-05-20,924530.57,3.7,2023,Superintending Engineer (Nashik Demo),True
EST-DEMO-000071,MPLAD-WRK-000071,2023-08-12,2023-09-17,1204059.58,3.1,2023,Superintending Engineer (Agra Demo),True
EST-DEMO-000072,MPLAD-WRK-000072,2023-08-25,2023-10-18,832763.9,2.1,2023,Superintending Engineer (Warangal Demo),True
EST-DEMO-000073,MPLAD-WRK-000073,2024-03-03,2024-04-10,1457482.84,4.9,2023,Superintending Engineer (Indore Demo),True
EST-DEMO-000074,MPLAD-WRK-000074,2024-07-22,2024-08-13,2568129.5,4.3,2023,Superintending Engineer (Rajkot Demo),True
EST-DEMO-000075,MPLAD-WRK-000075,2022-05-18,2022-06-10,491070.5,2.2,2023,Superintending Engineer (Kanpur Nagar Demo),True
EST-DEMO-000076,MPLAD-WRK-000076,2024-01-27,2024-03-12,1124965.81,3.7,2023,Superintending Engineer (Gaya Demo),True
EST-DEMO-000077,MPLAD-WRK-000077,2024-06-07,2024-07-16,404463.18,2.8,2023,Superintending Engineer (Visakhapatnam Demo),True
EST-DEMO-000078,MPLAD-WRK-000078,2023-01-25,2023-02-12,2358811.02,2.7,2023,Superintending Engineer (Surat Demo),True
EST-DEMO-000079,MPLAD-WRK-000079,2022-05-01,2022-05-26,2769478.18,4.3,2023,Superintending Engineer (Madurai Demo),True
EST-DEMO-000080,MPLAD-WRK-000080,2024-11-15,2024-12-17,1892627.9,4.2,2023,Superintending Engineer (Kozhikode Demo),True
EST-DEMO-000081,MPLAD-WRK-000081,2024-06-04,2024-07-31,1749435.5,3.5,2023,Superintending Engineer (Madurai Demo),True
EST-DEMO-000082,MPLAD-WRK-000082,2022-10-16,2022-11-06,820544.46,3.7,2023,Superintending Engineer (Thiruvananthapuram Demo),True
EST-DEMO-000083,MPLAD-WRK-000083,2023-12-10,2023-12-25,894522.42,2.8,2023,Superintending Engineer (Kota Demo),True
EST-DEMO-000084,MPLAD-WRK-000084,2023-08-25,2023-09-23,882280.45,4.1,2023,Superintending Engineer (Bhopal Demo),True
EST-DEMO-000085,MPLAD-WRK-000085,2024-06-13,2024-07-26,1447720.21,3.6,2023,Superintending Engineer (Aurangabad Demo),True
EST-DEMO-000086,MPLAD-WRK-000086,2023-03-13,2023-04-19,3334663.74,2.3,2023,Superintending Engineer (Vadodara Demo),True
EST-DEMO-000087,MPLAD-WRK-000087,2023-10-08,2023-12-04,173531.66,3.8,2023,Superintending Engineer (Bengaluru Urban Demo),True
EST-DEMO-000088,MPLAD-WRK-000088,2023-07-10,2023-08-20,1520655.62,2.4,2023,Superintending Engineer (Ahmedabad Demo),True
EST-DEMO-000089,MPLAD-WRK-000089,2024-12-02,2024-12-25,2024911.1,4.3,2023,Superintending Engineer (Patna Demo),True
EST-DEMO-000090,MPLAD-WRK-000090,2022-06-18,2022-08-05,554090.04,3.2,2023,Superintending Engineer (Ahmedabad Demo),True
EST-DEMO-000091,MPLAD-WRK-000091,2022-07-21,2022-09-18,316372.1,4.3,2023,Superintending Engineer (Ajmer Demo),True
EST-DEMO-000092,MPLAD-WRK-000092,2023-05-19,2023-07-02,896058.47,3.1,2023,Superintending Engineer (Tiruchirappalli Demo),True
EST-DEMO-000093,MPLAD-WRK-000093,2023-11-13,2024-01-07,925386.22,3.6,2023,Superintending Engineer (Salem Demo),True
EST-DEMO-000094,MPLAD-WRK-000094,2022-07-10,2022-07-31,987368.82,2.1,2023,Superintending Engineer (Salem Demo),True
EST-DEMO-000095,MPLAD-WRK-000095,2022-12-22,2023-02-14,1447372.13,3.9,2023,Superintending Engineer (Thiruvananthapuram Demo),True
EST-DEMO-000096,MPLAD-WRK-000096,2022-05-30,2022-06-25,3239757.48,4.7,2023,Superintending Engineer (Kozhikode Demo),True
EST-DEMO-000097,MPLAD-WRK-000097,2023-12-23,2024-02-21,1961659.56,3.6,2023,Superintending Engineer (Nagpur Demo),True
EST-DEMO-000098,MPLAD-WRK-000098,2022-10-29,2022-12-16,615105.94,4.0,2023,Superintending Engineer (Prayagraj Demo),True
EST-DEMO-000099,MPLAD-WRK-000099,2024-09-30,2024-11-23,433750.88,4.9,2023,Superintending Engineer (Rajkot Demo),True
EST-DEMO-000100,MPLAD-WRK-000100,2023-01-20,2023-03-15,1590460.56,2.3,2023,Superintending Engineer (Krishna Demo),True
EST-DEMO-000101,MPLAD-WRK-000101,2024-12-22,2025-01-13,727802.14,3.8,2023,Superintending Engineer (Vadodara Demo),True
EST-DEMO-000102,MPLAD-WRK-000102,2022-07-18,2022-08-02,428383.51,3.2,2023,Superintending Engineer (Indore Demo),True
EST-DEMO-000103,MPLAD-WRK-000103,2024-08-02,2024-08-26,946174.35,2.4,2023,Superintending Engineer (Ajmer Demo),True
EST-DEMO-000104,MPLAD-WRK-000104,2022-09-29,2022-10-29,1808964.73,2.0,2023,Superintending Engineer (Chennai Demo),True
EST-DEMO-000105,MPLAD-WRK-000105,2023-10-22,2023-11-22,395963.78,4.0,2023,Superintending Engineer (Bhopal Demo),True
EST-DEMO-000106,MPLAD-WRK-000106,2024-12-01,2025-01-04,1840787.23,3.3,2023,Superintending Engineer (Belagavi Demo),True
EST-DEMO-000107,MPLAD-WRK-000107,2022-10-06,2022-10-24,1422430.63,3.7,2023,Superintending Engineer (Surat Demo),True
EST-DEMO-000108,MPLAD-WRK-000108,2022-11-04,2022-12-17,855236.3,3.9,2023,Superintending Engineer (Ahmedabad Demo),True
EST-DEMO-000109,MPLAD-WRK-000109,2024-05-26,2024-07-22,1521587.36,4.2,2023,Superintending Engineer (Chennai Demo),True
EST-DEMO-000110,MPLAD-WRK-000110,2023-03-19,2023-05-13,399394.96,2.7,2023,Superintending Engineer (Muzaffarpur Demo),True
EST-DEMO-000111,MPLAD-WRK-000111,2024-04-27,2024-06-16,2232206.37,4.5,2023,Superintending Engineer (Visakhapatnam Demo),True
EST-DEMO-000112,MPLAD-WRK-000112,2022-09-30,2022-11-29,1691942.17,3.9,2023,Superintending Engineer (Patna Demo),True
EST-DEMO-000113,MPLAD-WRK-000113,2022-04-10,2022-05-30,289002.52,2.6,2023,Superintending Engineer (Patna Demo),True
EST-DEMO-000114,MPLAD-WRK-000114,2024-12-19,2025-02-04,284611.85,3.0,2023,Superintending Engineer (Kolkata Demo),True
EST-DEMO-000115,MPLAD-WRK-000115,2023-02-16,2023-04-12,608371.74,5.0,2023,Superintending Engineer (Kamrup Metropolitan Demo),True
EST-DEMO-000116,MPLAD-WRK-000116,2023-06-30,2023-08-21,719044.88,4.4,2023,Superintending Engineer (Kanpur Nagar Demo),True
EST-DEMO-000117,MPLAD-WRK-000117,2023-11-29,2024-01-10,1073565.23,3.1,2023,Superintending Engineer (Mysuru Demo),True
EST-DEMO-000118,MPLAD-WRK-000118,2022-08-08,2022-09-15,3945634.66,4.8,2023,Superintending Engineer (Khordha Demo),True
EST-DEMO-000119,MPLAD-WRK-000119,2024-02-17,2024-03-29,4176455.6,4.4,2023,Superintending Engineer (North 24 Parganas Demo),True
EST-DEMO-000120,MPLAD-WRK-000120,2024-03-05,,2842173.92,2.1,2023,Superintending Engineer (Rajkot Demo),True
EST-DEMO-000121,MPLAD-WRK-000121,2023-01-27,2023-03-19,956636.84,4.5,2023,Superintending Engineer (Darjeeling Demo),True
EST-DEMO-000122,MPLAD-WRK-000122,2024-05-03,2024-05-18,370089.16,5.0,2023,Superintending Engineer (Gwalior Demo),True
EST-DEMO-000123,MPLAD-WRK-000123,2023-12-10,2024-01-31,1682626.32,2.9,2023,Superintending Engineer (Mysuru Demo),True
EST-DEMO-000124,MPLAD-WRK-000124,2024-08-07,2024-10-01,1302628.31,3.0,2023,Superintending Engineer (Salem Demo),True
EST-DEMO-000125,MPLAD-WRK-000125,2024-04-12,2024-05-05,2366282.31,4.1,2023,Superintending Engineer (Ernakulam Demo),True
EST-DEMO-000126,MPLAD-WRK-000126,2022-04-22,2022-05-13,394086.93,2.5,2023,Superintending Engineer (Visakhapatnam Demo),True
EST-DEMO-000127,MPLAD-WRK-000127,2023-06-13,2023-07-30,1671652.68,2.1,2023,Superintending Engineer (Dibrugarh Demo),True
EST-DEMO-000128,MPLAD-WRK-000128,2022-10-26,2022-11-20,2198132.55,3.5,2023,Superintending Engineer (Darjeeling Demo),True
EST-DEMO-000129,MPLAD-WRK-000129,2025-01-03,2025-02-16,834546.91,2.4,2023,Superintending Engineer (Mysuru Demo),True
EST-DEMO-000130,MPLAD-WRK-000130,2024-12-30,2025-02-25,413224.47,4.0,2023,Superintending Engineer (Darjeeling Demo),True
EST-DEMO-000131,MPLAD-WRK-000131,2024-08-13,2024-10-03,1965433.9,2.3,2023,Superintending Engineer (Indore Demo),True
EST-DEMO-000132,MPLAD-WRK-000132,2023-12-06,2024-01-17,2285169.76,3.5,2023,Superintending Engineer (Thane Demo),True
EST-DEMO-000133,MPLAD-WRK-000133,2024-09-10,2024-10-22,2559140.77,4.2,2023,Superintending Engineer (Gwalior Demo),True
EST-DEMO-000134,MPLAD-WRK-000134,2023-06-13,2023-07-15,1858548.95,2.3,2023,Superintending Engineer (Indore Demo),True
EST-DEMO-000135,MPLAD-WRK-000135,2022-06-11,2022-08-07,2602716.32,4.7,2023,Superintending Engineer (Warangal Demo),True
EST-DEMO-000136,MPLAD-WRK-000136,2022-10-23,2022-11-17,1287595.2,3.9,2023,Superintending Engineer (Chennai Demo),True
EST-DEMO-000137,MPLAD-WRK-000137,2023-05-12,2023-06-12,1258775.94,4.3,2023,Superintending Engineer (Ajmer Demo),True
EST-DEMO-000138,MPLAD-WRK-000138,2022-05-29,2022-07-01,992844.72,4.9,2023,Superintending Engineer (Belagavi Demo),True
EST-DEMO-000139,MPLAD-WRK-000139,2022-06-24,2022-08-15,971813.17,2.1,2023,Superintending Engineer (Udaipur Demo),True
EST-DEMO-000140,MPLAD-WRK-000140,2025-01-08,2025-01-25,2274618.13,2.9,2023,Superintending Engineer (Aurangabad Demo),True
EST-DEMO-000141,MPLAD-WRK-000141,2024-12-08,2025-01-21,2289402.67,4.7,2023,Superintending Engineer (Nagpur Demo),True
EST-DEMO-000142,MPLAD-WRK-000142,2024-06-03,2024-07-18,960935.65,3.5,2023,Superintending Engineer (Gwalior Demo),True
EST-DEMO-000143,MPLAD-WRK-000143,2022-05-04,2022-05-26,554008.19,4.3,2023,Superintending Engineer (Vadodara Demo),True
EST-DEMO-000144,MPLAD-WRK-000144,2023-04-21,2023-05-07,2402125.19,3.4,2023,Superintending Engineer (Prayagraj Demo),True
EST-DEMO-000145,MPLAD-WRK-000145,2024-12-25,2025-01-23,2178942.23,3.9,2023,Superintending Engineer (Surat Demo),True
EST-DEMO-000146,MPLAD-WRK-000146,2022-10-24,2022-12-04,1665707.4,4.5,2023,Superintending Engineer (Ludhiana Demo),True
EST-DEMO-000147,MPLAD-WRK-000147,2023-11-20,2024-01-19,2965223.99,3.2,2023,Superintending Engineer (Visakhapatnam Demo),True
EST-DEMO-000148,MPLAD-WRK-000148,2024-07-17,2024-08-30,585382.46,4.3,2023,Superintending Engineer (Lucknow Demo),True
EST-DEMO-000149,MPLAD-WRK-000149,2024-07-07,2024-08-03,936786.27,3.6,2023,Superintending Engineer (Ahmedabad Demo),True
EST-DEMO-000150,MPLAD-WRK-000150,2023-07-23,2023-08-29,1133151.59,4.5,2023,Superintending Engineer (Rajkot Demo),True
EST-DEMO-000151,MPLAD-WRK-000151,2024-12-28,2025-02-07,297072.04,2.5,2023,Superintending Engineer (Thiruvananthapuram Demo),True
EST-DEMO-000152,MPLAD-WRK-000152,2024-12-27,2025-01-11,254662.54,3.4,2023,Superintending Engineer (Visakhapatnam Demo),True
EST-DEMO-000153,MPLAD-WRK-000153,2025-01-24,,2540792.73,4.5,2023,Superintending Engineer (Muzaffarpur Demo),True
EST-DEMO-000154,MPLAD-WRK-000154,2022-05-18,2022-06-23,1211138.28,2.5,2023,Superintending Engineer (Indore Demo),True
EST-DEMO-000155,MPLAD-WRK-000155,2024-07-13,2024-09-06,1595816.91,4.5,2023,Superintending Engineer (Gwalior Demo),True
EST-DEMO-000156,MPLAD-WRK-000156,2023-02-25,2023-04-15,2212254.34,4.4,2023,Superintending Engineer (Kanpur Nagar Demo),True
EST-DEMO-000157,MPLAD-WRK-000157,2022-04-18,2022-05-10,609572.83,2.6,2023,Superintending Engineer (Thane Demo),True
EST-DEMO-000158,MPLAD-WRK-000158,2023-07-11,2023-08-28,825217.78,4.0,2023,Superintending Engineer (Warangal Demo),True
EST-DEMO-000159,MPLAD-WRK-000159,2024-09-01,2024-09-17,1431692.06,2.2,2023,Superintending Engineer (Dakshina Kannada Demo),True
EST-DEMO-000160,MPLAD-WRK-000160,2022-04-22,2022-06-05,1019594.1,2.6,2023,Superintending Engineer (Ajmer Demo),True
EST-DEMO-000161,MPLAD-WRK-000161,2023-01-22,2023-02-09,2046822.68,2.6,2023,Superintending Engineer (Salem Demo),True
EST-DEMO-000162,MPLAD-WRK-000162,2024-08-05,2024-09-10,1265610.68,3.9,2023,Superintending Engineer (Dharwad Demo),True
EST-DEMO-000163,MPLAD-WRK-000163,2022-08-30,2022-10-06,2420737.41,2.9,2023,Superintending Engineer (Lucknow Demo),True
EST-DEMO-000164,MPLAD-WRK-000164,2023-01-21,2023-02-13,6277136.43,3.8,2023,Superintending Engineer (Krishna Demo),True
EST-DEMO-000165,MPLAD-WRK-000165,2023-05-30,2023-06-28,836908.65,3.7,2023,Superintending Engineer (Thiruvananthapuram Demo),True
EST-DEMO-000166,MPLAD-WRK-000166,2024-02-13,2024-03-11,1089880.31,4.5,2023,Superintending Engineer (Visakhapatnam Demo),True
EST-DEMO-000167,MPLAD-WRK-000167,2024-05-07,2024-05-30,2036830.75,4.3,2023,Superintending Engineer (Kolkata Demo),True
EST-DEMO-000168,MPLAD-WRK-000168,2022-10-31,2022-12-28,2254059.86,4.7,2023,Superintending Engineer (Dharwad Demo),True
EST-DEMO-000169,MPLAD-WRK-000169,2022-11-13,2022-12-06,948915.4,3.4,2023,Superintending Engineer (Agra Demo),True
EST-DEMO-000170,MPLAD-WRK-000170,2023-03-25,2023-05-05,3596414.55,4.7,2023,Superintending Engineer (Ludhiana Demo),True
EST-DEMO-000171,MPLAD-WRK-000171,2024-06-26,2024-07-23,1935363.9,4.0,2023,Superintending Engineer (Varanasi Demo),True
EST-DEMO-000172,MPLAD-WRK-000172,2023-05-15,2023-06-04,247323.89,4.4,2023,Superintending Engineer (Aurangabad Demo),True
EST-DEMO-000173,MPLAD-WRK-000173,2024-06-06,2024-07-04,987663.92,4.9,2023,Superintending Engineer (Ahmedabad Demo),True
EST-DEMO-000174,MPLAD-WRK-000174,2022-04-28,2022-05-27,1199291.93,3.9,2023,Superintending Engineer (Rajkot Demo),True
EST-DEMO-000175,MPLAD-WRK-000175,2024-09-25,2024-10-31,2111394.08,3.0,2023,Superintending Engineer (Darjeeling Demo),True
EST-DEMO-000176,MPLAD-WRK-000176,2023-05-24,2023-06-23,2468683.6,4.9,2023,Superintending Engineer (Gaya Demo),True
EST-DEMO-000177,MPLAD-WRK-000177,2024-05-08,2024-06-27,1954515.49,4.2,2023,Superintending Engineer (Chennai Demo),True
EST-DEMO-000178,MPLAD-WRK-000178,2022-06-10,2022-07-18,2972958.01,4.0,2023,Superintending Engineer (Gaya Demo),True
EST-DEMO-000179,MPLAD-WRK-000179,2022-04-04,2022-04-25,1245555.48,2.6,2023,Superintending Engineer (Salem Demo),True
EST-DEMO-000180,MPLAD-WRK-000180,2022-04-20,2022-05-08,6214504.19,4.3,2023,Superintending Engineer (Thane Demo),True
EST-DEMO-000181,MPLAD-WRK-000181,2023-08-23,2023-09-30,743309.11,4.9,2023,Superintending Engineer (Coimbatore Demo),True
EST-DEMO-000182,MPLAD-WRK-000182,2024-11-12,2024-12-07,735652.35,2.5,2023,Superintending Engineer (Salem Demo),True
EST-DEMO-000183,MPLAD-WRK-000183,2024-05-21,2024-07-16,2045234.41,4.8,2023,Superintending Engineer (Amritsar Demo),True
EST-DEMO-000184,MPLAD-WRK-000184,2023-11-29,2023-12-28,2942840.92,2.4,2023,Superintending Engineer (Hyderabad Demo),True
EST-DEMO-000185,MPLAD-WRK-000185,2024-06-10,2024-07-20,509938.11,3.7,2023,Superintending Engineer (Darjeeling Demo),True
EST-DEMO-000186,MPLAD-WRK-000186,2024-09-05,2024-09-29,2285184.23,4.0,2023,Superintending Engineer (Coimbatore Demo),True
EST-DEMO-000187,MPLAD-WRK-000187,2024-12-26,2025-01-14,1552785.15,2.0,2023,Superintending Engineer (Tiruchirappalli Demo),True
EST-DEMO-000188,MPLAD-WRK-000188,2023-11-22,2024-01-18,1656710.2,2.1,2023,Superintending Engineer (Prayagraj Demo),True
EST-DEMO-000189,MPLAD-WRK-000189,2023-04-30,2023-06-29,681536.88,2.7,2023,Superintending Engineer (Varanasi Demo),True
EST-DEMO-000190,MPLAD-WRK-000190,2022-10-20,2022-11-07,350000,4.1,2023,Superintending Engineer (Prayagraj Demo),True
EST-DEMO-000191,MPLAD-WRK-000191,2022-12-12,2023-01-21,2497393.09,4.1,2023,Superintending Engineer (Ludhiana Demo),True
EST-DEMO-000192,MPLAD-WRK-000192,2024-10-05,2024-10-30,1628087.69,4.9,2023,Superintending Engineer (Ludhiana Demo),True
EST-DEMO-000193,MPLAD-WRK-000193,2022-09-21,2022-11-08,1585296.75,3.1,2023,Superintending Engineer (Prayagraj Demo),True
EST-DEMO-000194,MPLAD-WRK-000194,2022-05-14,2022-06-06,1414909.69,3.3,2023,Superintending Engineer (Krishna Demo),True
EST-DEMO-000195,MPLAD-WRK-000195,2023-07-18,2023-08-16,580054.78,3.1,2023,Superintending Engineer (Salem Demo),True
