update_id,work_id,update_date,physical_progress_pct,stage_name,expenditure_to_date,reported_by_designation,remarks,geo_tagged_photo_ref,synthetic_demo_data
UPD-DEMO-0000018,MPLAD-WRK-000004,2025-08-13,64.1,Finishing & Installations,1297537.19,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Finishing & Installations' executed. Physical progress at 64.1%.,photos/synth_work_MPLAD-WRK-000004_stage_4.jpg,True
UPD-DEMO-0000019,MPLAD-WRK-000004,2025-09-23,80.1,Testing & Commissioning,1621921.48,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Testing & Commissioning' executed. Physical progress at 80.1%.,photos/synth_work_MPLAD-WRK-000004_stage_5.jpg,True
UPD-DEMO-0000020,MPLAD-WRK-000004,2025-10-19,100.0,Final Handover,1946305.78,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Final Handover' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000004_stage_6.jpg,True
UPD-DEMO-0000021,MPLAD-WRK-000005,2024-03-04,17.3,Planning & Mobilization,151083.31,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Planning & Mobilization' executed. Physical progress at 17.3%.,photos/synth_work_MPLAD-WRK-000005_stage_1.jpg,True
UPD-DEMO-0000022,MPLAD-WRK-000005,2024-04-05,31.3,Excavation & Foundation,302166.61,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Excavation & Foundation' executed. Physical progress at 31.3%.,photos/synth_work_MPLAD-WRK-000005_stage_2.jpg,True
UPD-DEMO-0000023,MPLAD-WRK-000005,2024-05-11,46.6,Structural Construction,453249.92,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Structural Construction' executed. Physical progress at 46.6%.,photos/synth_work_MPLAD-WRK-000005_stage_3.jpg,True
UPD-DEMO-0000024,MPLAD-WRK-000005,2024-06-15,62.7,Finishing & Installations,604333.23,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Finishing & Installations' executed. Physical progress at 62.7%.,photos/synth_work_MPLAD-WRK-000005_stage_4.jpg,True
UPD-DEMO-0000025,MPLAD-WRK-000005,2024-07-14,83.7,Testing & Commissioning,755416.53,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Testing & Commissioning' executed. Physical progress at 83.7%.,photos/synth_work_MPLAD-WRK-000005_stage_5.jpg,True
UPD-DEMO-0000026,MPLAD-WRK-000005,2024-08-25,100.0,Final Handover,906499.84,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Final Handover' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000005_stage_6.jpg,True
UPD-DEMO-0000027,MPLAD-WRK-000007,2023-10-13,0.0,Planning & Mobilization,0.0,Junior Engineer (North 24 Parganas Water Supply & Sanitation Board (Demo) Unit-2),Stage 'Planning & Mobilization' executed. Physical progress at 0.0%.,,True
UPD-DEMO-0000028,MPLAD-WRK-000008,2025-04-13,15.8,Planning & Mobilization,36752.03,Junior Engineer (Nashik Irrigation & Flood Management Dept (Demo) Unit-5),Stage 'Planning & Mobilization' executed. Physical progress at 15.8%.,photos/synth_work_MPLAD-WRK-000008_stage_1.jpg,True
UPD-DEMO-0000029,MPLAD-WRK-000008,2025-05-21,30.0,Excavation & Foundation,73504.06,Junior Engineer (Nashik Irrigation & Flood Management Dept (Demo) Unit-5),Stage 'Excavation & Foundation' executed. Physical progress at 30.0%.,photos/synth_work_MPLAD-WRK-000008_stage_2.jpg,True
UPD-DEMO-0000030,MPLAD-WRK-000008,2025-06-23,46.8,Structural Construction,110256.09,Junior Engineer (Nashik Irrigation & Flood Management Dept (Demo) Unit-5),Stage 'Structural Construction' executed. Physical progress at 46.8%.,photos/synth_work_MPLAD-WRK-000008_stage_3.jpg,True
UPD-DEMO-0000031,MPLAD-WRK-000008,2025-07-28,69.5,Finishing & Installations,147008.12,Junior Engineer (Nashik Irrigation & Flood Management Dept (Demo) Unit-5),Stage 'Finishing & Installations' executed. Physical progress at 69.5%.,photos/synth_work_MPLAD-WRK-000008_stage_4.jpg,True
UPD-DEMO-0000032,MPLAD-WRK-000008,2025-09-06,82.3,Testing & Commissioning,183760.15,Junior Engineer (Nashik Irrigation & Flood Management Dept (Demo) Unit-5),Stage 'Testing & Commissioning' executed. Physical progress at 82.3%.,photos/synth_work_MPLAD-WRK-000008_stage_5.jpg,True
UPD-DEMO-0000033,MPLAD-WRK-000008,2025-10-12,100.0,Final Handover,220512.18,Junior Engineer (Nashik Irrigation & Flood Management Dept (Demo) Unit-5),Stage 'Final Handover' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000008_stage_6.jpg,True
UPD-DEMO-0000034,MPLAD-WRK-000009,2024-08-08,11.6,Planning & Mobilization,129494.96,Junior Engineer (Prayagraj Rural Development Agency (Demo) Unit-3),Stage 'Planning & Mobilization' executed. Physical progress at 11.6%.,photos/synth_work_MPLAD-WRK-000009_stage_1.jpg,True
UPD-DEMO-0000035,MPLAD-WRK-000009,2024-09-14,24.2,Excavation & Foundation,258989.92,Junior Engineer (Prayagraj Rural Development Agency (Demo) Unit-3),Stage 'Excavation & Foundation' executed. Physical progress at 24.2%.,photos/synth_work_MPLAD-WRK-000009_stage_2.jpg,True
UPD-DEMO-0000036,MPLAD-WRK-000009,2024-10-18,34.9,Structural Construction,388484.87,Junior Engineer (Prayagraj Rural Development Agency (Demo) Unit-3),Stage 'Structural Construction' executed. Physical progress at 34.9%.,photos/synth_work_MPLAD-WRK-000009_stage_3.jpg,True
UPD-DEMO-0000037,MPLAD-WRK-000009,2024-11-21,50.0,Finishing & Installations,517979.83,Junior Engineer (Prayagraj Rural Development Agency (Demo) Unit-3),Stage 'Finishing & Installations' executed. Physical progress at 50.0%.,photos/synth_work_MPLAD-WRK-000009_stage_4.jpg,True
UPD-DEMO-0000038,MPLAD-WRK-000010,2022-08-10,26.2,Planning & Mobilization,107582.73,Junior Engineer (Tiruchirappalli Public Works Dept (Demo) Unit-1),Stage 'Planning & Mobilization' executed. Physical progress at 26.2%.,photos/synth_work_MPLAD-WRK-000010_stage_1.jpg,True
UPD-DEMO-0000039,MPLAD-WRK-000010,2022-09-14,48.4,Excavation & Foundation,215165.46,Junior Engineer (Tiruchirappalli Public Works Dept (Demo) Unit-1),Stage 'Excavation & Foundation' executed. Physical progress at 48.4%.,photos/synth_work_MPLAD-WRK-000010_stage_2.jpg,True
UPD-DEMO-0000040,MPLAD-WRK-000010,2022-10-23,71.7,Structural Construction,322748.2,Junior Engineer (Tiruchirappalli Public Works Dept (Demo) Unit-1),Stage 'Structural Construction' executed. Physical progress at 71.7%.,photos/synth_work_MPLAD-WRK-000010_stage_3.jpg,True
UPD-DEMO-0000041,MPLAD-WRK-000010,2022-11-25,100.0,Finishing & Installations,430330.93,Junior Engineer (Tiruchirappalli Public Works Dept (Demo) Unit-1),Stage 'Finishing & Installations' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000010_stage_4.jpg,True
UPD-DEMO-0000042,MPLAD-WRK-000011,2024-11-30,8.3,Planning & Mobilization,104523.32,Junior Engineer (Mysuru Rural Development Agency (Demo) Unit-2),Stage 'Planning & Mobilization' executed. Physical progress at 8.3%.,photos/synth_work_MPLAD-WRK-000011_stage_1.jpg,True
UPD-DEMO-0000043,MPLAD-WRK-000011,2025-01-10,17.7,Excavation & Foundation,209046.64,Junior Engineer (Mysuru Rural Development Agency (Demo) Unit-2),Stage 'Excavation & Foundation' executed. Physical progress at 17.7%.,photos/synth_work_MPLAD-WRK-000011_stage_2.jpg,True
UPD-DEMO-0000044,MPLAD-WRK-000011,2025-02-07,26.9,Structural Construction,313569.96,Junior Engineer (Mysuru Rural Development Agency (Demo) Unit-2),Stage 'Structural Construction' executed. Physical progress at 26.9%.,photos/synth_work_MPLAD-WRK-000011_stage_3.jpg,True
UPD-DEMO-0000045,MPLAD-WRK-000012,2023-11-20,11.8,Planning & Mobilization,164067.53,Junior Engineer (Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1),Stage 'Planning & Mobilization' executed. Physical progress at 11.8%.,photos/synth_work_MPLAD-WRK-000012_stage_1.jpg,True
UPD-DEMO-0000046,MPLAD-WRK-000012,2023-12-30,27.1,Excavation & Foundation,328135.06,Junior Engineer (Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1),Stage 'Excavation & Foundation' executed. Physical progress at 27.1%.,photos/synth_work_MPLAD-WRK-000012_stage_2.jpg,True
UPD-DEMO-0000047,MPLAD-WRK-000012,2024-02-01,37.3,Structural Construction,492202.59,Junior Engineer (Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1),Stage 'Structural Construction' executed. Physical progress at 37.3%.,photos/synth_work_MPLAD-WRK-000012_stage_3.jpg,True
UPD-DEMO-0000048,MPLAD-WRK-000012,2024-03-05,49.3,Finishing & Installations,656270.13,Junior Engineer (Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1),Stage 'Finishing & Installations' executed. Physical progress at 49.3%.,photos/synth_work_MPLAD-WRK-000012_stage_4.jpg,True
UPD-DEMO-0000049,MPLAD-WRK-000012,2024-04-07,62.5,Testing & Commissioning,820337.66,Junior Engineer (Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1),Stage 'Testing & Commissioning' executed. Physical progress at 62.5%.,photos/synth_work_MPLAD-WRK-000012_stage_5.jpg,True
UPD-DEMO-0000050,MPLAD-WRK-000012,2024-05-16,78.0,Final Handover,984405.19,Junior Engineer (Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1),Stage 'Final Handover' executed. Physical progress at 78.0%.,photos/synth_work_MPLAD-WRK-000012_stage_6.jpg,True
UPD-DEMO-0000051,MPLAD-WRK-000013,2024-08-25,26.7,Planning & Mobilization,356841.22,Junior Engineer (Dakshina Kannada Public Works Dept (Demo) Unit-3),Stage 'Planning & Mobilization' executed. Physical progress at 26.7%.,photos/synth_work_MPLAD-WRK-000013_stage_1.jpg,True
UPD-DEMO-0000052,MPLAD-WRK-000013,2024-09-24,54.2,Excavation & Foundation,713682.45,Junior Engineer (Dakshina Kannada Public Works Dept (Demo) Unit-3),Stage 'Excavation & Foundation' executed. Physical progress at 54.2%.,photos/synth_work_MPLAD-WRK-000013_stage_2.jpg,True
UPD-DEMO-0000053,MPLAD-WRK-000013,2024-11-01,86.0,Structural Construction,1070523.67,Junior Engineer (Dakshina Kannada Public Works Dept (Demo) Unit-3),Stage 'Structural Construction' executed. Physical progress at 86.0%.,photos/synth_work_MPLAD-WRK-000013_stage_3.jpg,True
UPD-DEMO-0000054,MPLAD-WRK-000014,2024-05-03,12.7,Planning & Mobilization,227724.66,Junior Engineer (Ludhiana Municipal Engineering Cell (Demo) Unit-5),Stage 'Planning & Mobilization' executed. Physical progress at 12.7%.,photos/synth_work_MPLAD-WRK-000014_stage_1.jpg,True
UPD-DEMO-0000055,MPLAD-WRK-000014,2024-06-04,25.5,Excavation & Foundation,455449.31,Junior Engineer (Ludhiana Municipal Engineering Cell (Demo) Unit-5),Stage 'Excavation & Foundation' executed. Physical progress at 25.5%.,photos/synth_work_MPLAD-WRK-000014_stage_2.jpg,True
UPD-DEMO-0000056,MPLAD-WRK-000014,2024-07-06,38.7,Structural Construction,683173.97,Junior Engineer (Ludhiana Municipal Engineering Cell (Demo) Unit-5),Stage 'Structural Construction' executed. Physical progress at 38.7%.,photos/synth_work_MPLAD-WRK-000014_stage_3.jpg,True
UPD-DEMO-0000057,MPLAD-WRK-000015,2023-06-05,9.0,Planning & Mobilization,566186.29,Junior Engineer (Bhopal Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Planning & Mobilization' executed. Physical progress at 9.0%.,photos/synth_work_MPLAD-WRK-000015_stage_1.jpg,True
UPD-DEMO-0000058,MPLAD-WRK-000015,2023-07-02,18.2,Excavation & Foundation,1132372.58,Junior Engineer (Bhopal Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Excavation & Foundation' executed. Physical progress at 18.2%.,photos/synth_work_MPLAD-WRK-000015_stage_2.jpg,True
UPD-DEMO-0000059,MPLAD-WRK-000015,2023-08-12,29.2,Structural Construction,1698558.87,Junior Engineer (Bhopal Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Structural Construction' executed. Physical progress at 29.2%.,photos/synth_work_MPLAD-WRK-000015_stage_3.jpg,True
UPD-DEMO-0000060,MPLAD-WRK-000016,2024-01-18,0.0,Planning & Mobilization,87257.62,Junior Engineer (Patna Rural Development Agency (Demo) Unit-5),Stage 'Planning & Mobilization' executed. Physical progress at 0.0%.,,True
UPD-DEMO-0000061,MPLAD-WRK-000017,2023-09-30,5.3,Planning & Mobilization,187816.31,Junior Engineer (Dharwad Public Works Dept (Demo) Unit-4),Stage 'Planning & Mobilization' executed. Physical progress at 5.3%.,photos/synth_work_MPLAD-WRK-000017_stage_1.jpg,True
UPD-DEMO-0000062,MPLAD-WRK-000017,2023-11-07,11.6,Excavation & Foundation,375632.61,Junior Engineer (Dharwad Public Works Dept (Demo) Unit-4),Stage 'Excavation & Foundation' executed. Physical progress at 11.6%.,photos/synth_work_MPLAD-WRK-000017_stage_2.jpg,True
UPD-DEMO-0000063,MPLAD-WRK-000017,2023-12-17,17.4,Structural Construction,563448.92,Junior Engineer (Dharwad Public Works Dept (Demo) Unit-4),Stage 'Structural Construction' executed. Physical progress at 17.4%.,photos/synth_work_MPLAD-WRK-000017_stage_3.jpg,True
UPD-DEMO-0000064,MPLAD-WRK-000018,2023-12-08,16.6,Planning & Mobilization,70872.69,Junior Engineer (Jaipur Irrigation & Flood Management Dept (Demo) Unit-1),Stage 'Planning & Mobilization' executed. Physical progress at 16.6%.,photos/synth_work_MPLAD-WRK-000018_stage_1.jpg,True
UPD-DEMO-0000065,MPLAD-WRK-000018,2024-01-10,32.5,Excavation & Foundation,141745.38,Junior Engineer (Jaipur Irrigation & Flood Management Dept (Demo) Unit-1),Stage 'Excavation & Foundation' executed. Physical progress at 32.5%.,photos/synth_work_MPLAD-WRK-000018_stage_2.jpg,True
UPD-DEMO-0000066,MPLAD-WRK-000018,2024-02-15,49.1,Structural Construction,212618.07,Junior Engineer (Jaipur Irrigation & Flood Management Dept (Demo) Unit-1),Stage 'Structural Construction' executed. Physical progress at 49.1%.,photos/synth_work_MPLAD-WRK-000018_stage_3.jpg,True
UPD-DEMO-0000067,MPLAD-WRK-000018,2024-03-25,64.3,Finishing & Installations,283490.75,Junior Engineer (Jaipur Irrigation & Flood Management Dept (Demo) Unit-1),Stage 'Finishing & Installations' executed. Physical progress at 64.3%.,photos/synth_work_MPLAD-WRK-000018_stage_4.jpg,True
UPD-DEMO-0000068,MPLAD-WRK-000018,2024-04-25,82.3,Testing & Commissioning,354363.44,Junior Engineer (Jaipur Irrigation & Flood Management Dept (Demo) Unit-1),Stage 'Testing & Commissioning' executed. Physical progress at 82.3%.,photos/synth_work_MPLAD-WRK-000018_stage_5.jpg,True
UPD-DEMO-0000069,MPLAD-WRK-000018,2024-06-02,100.0,Final Handover,425236.13,Junior Engineer (Jaipur Irrigation & Flood Management Dept (Demo) Unit-1),Stage 'Final Handover' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000018_stage_6.jpg,True
UPD-DEMO-0000070,MPLAD-WRK-000019,2024-12-23,23.1,Planning & Mobilization,176122.82,Junior Engineer (Salem State Sports Infrastructure Authority (Demo) Unit-5),Stage 'Planning & Mobilization' executed. Physical progress at 23.1%.,photos/synth_work_MPLAD-WRK-000019_stage_1.jpg,True
UPD-DEMO-0000071,MPLAD-WRK-000019,2025-01-30,47.3,Excavation & Foundation,352245.65,Junior Engineer (Salem State Sports Infrastructure Authority (Demo) Unit-5),Stage 'Excavation & Foundation' executed. Physical progress at 47.3%.,photos/synth_work_MPLAD-WRK-000019_stage_2.jpg,True
UPD-DEMO-0000072,MPLAD-WRK-000019,2025-03-01,69.1,Structural Construction,528368.47,Junior Engineer (Salem State Sports Infrastructure Authority (Demo) Unit-5),Stage 'Structural Construction' executed. Physical progress at 69.1%.,photos/synth_work_MPLAD-WRK-000019_stage_3.jpg,True
UPD-DEMO-0000073,MPLAD-WRK-000019,2025-04-09,100.0,Finishing & Installations,704491.29,Junior Engineer (Salem State Sports Infrastructure Authority (Demo) Unit-5),Stage 'Finishing & Installations' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000019_stage_4.jpg,True
UPD-DEMO-0000074,MPLAD-WRK-000020,2024-10-01,18.3,Planning & Mobilization,308215.89,Junior Engineer (Gaya Zilla Parishad Engineering Division (Demo) Unit-4),Stage 'Planning & Mobilization' executed. Physical progress at 18.3%.,photos/synth_work_MPLAD-WRK-000020_stage_1.jpg,True
UPD-DEMO-0000075,MPLAD-WRK-000020,2024-11-04,37.2,Excavation & Foundation,616431.77,Junior Engineer (Gaya Zilla Parishad Engineering Division (Demo) Unit-4),Stage 'Excavation & Foundation' executed. Physical progress at 37.2%.,photos/synth_work_MPLAD-WRK-000020_stage_2.jpg,True
UPD-DEMO-0000076,MPLAD-WRK-000020,2024-12-09,55.6,Structural Construction,924647.66,Junior Engineer (Gaya Zilla Parishad Engineering Division (Demo) Unit-4),Stage 'Structural Construction' executed. Physical progress at 55.6%.,photos/synth_work_MPLAD-WRK-000020_stage_3.jpg,True
UPD-DEMO-0000077,MPLAD-WRK-000020,2025-01-12,72.3,Finishing & Installations,1232863.54,Junior Engineer (Gaya Zilla Parishad Engineering Division (Demo) Unit-4),Stage 'Finishing & Installations' executed. Physical progress at 72.3%.,photos/synth_work_MPLAD-WRK-000020_stage_4.jpg,True
UPD-DEMO-0000078,MPLAD-WRK-000020,2025-02-12,100.0,Testing & Commissioning,1541079.43,Junior Engineer (Gaya Zilla Parishad Engineering Division (Demo) Unit-4),Stage 'Testing & Commissioning' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000020_stage_5.jpg,True
UPD-DEMO-0000079,MPLAD-WRK-000021,2022-12-29,17.2,Planning & Mobilization,92974.77,Junior Engineer (Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3),Stage 'Planning & Mobilization' executed. Physical progress at 17.2%.,photos/synth_work_MPLAD-WRK-000021_stage_1.jpg,True
UPD-DEMO-0000080,MPLAD-WRK-000021,2023-02-06,31.9,Excavation & Foundation,185949.53,Junior Engineer (Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3),Stage 'Excavation & Foundation' executed. Physical progress at 31.9%.,photos/synth_work_MPLAD-WRK-000021_stage_2.jpg,True
UPD-DEMO-0000081,MPLAD-WRK-000021,2023-03-14,46.8,Structural Construction,278924.3,Junior Engineer (Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3),Stage 'Structural Construction' executed. Physical progress at 46.8%.,photos/synth_work_MPLAD-WRK-000021_stage_3.jpg,True
UPD-DEMO-0000082,MPLAD-WRK-000021,2023-04-14,69.0,Finishing & Installations,371899.06,Junior Engineer (Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3),Stage 'Finishing & Installations' executed. Physical progress at 69.0%.,photos/synth_work_MPLAD-WRK-000021_stage_4.jpg,True
UPD-DEMO-0000083,MPLAD-WRK-000021,2023-05-18,86.1,Testing & Commissioning,464873.83,Junior Engineer (Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3),Stage 'Testing & Commissioning' executed. Physical progress at 86.1%.,photos/synth_work_MPLAD-WRK-000021_stage_5.jpg,True
UPD-DEMO-0000084,MPLAD-WRK-000022,2024-09-24,12.8,Planning & Mobilization,138454.82,Junior Engineer (Pune Rural Development Agency (Demo) Unit-5),Stage 'Planning & Mobilization' executed. Physical progress at 12.8%.,photos/synth_work_MPLAD-WRK-000022_stage_1.jpg,True
UPD-DEMO-0000085,MPLAD-WRK-000022,2024-11-04,26.9,Excavation & Foundation,276909.63,Junior Engineer (Pune Rural Development Agency (Demo) Unit-5),Stage 'Excavation & Foundation' executed. Physical progress at 26.9%.,photos/synth_work_MPLAD-WRK-000022_stage_2.jpg,True
UPD-DEMO-0000086,MPLAD-WRK-000023,2023-11-23,13.5,Planning & Mobilization,64519.32,Junior Engineer (Prayagraj Water Supply & Sanitation Board (Demo) Unit-3),Stage 'Planning & Mobilization' executed. Physical progress at 13.5%.,photos/synth_work_MPLAD-WRK-000023_stage_1.jpg,True
UPD-DEMO-0000087,MPLAD-WRK-000023,2024-01-04,28.2,Excavation & Foundation,129038.63,Junior Engineer (Prayagraj Water Supply & Sanitation Board (Demo) Unit-3),Stage 'Excavation & Foundation' executed. Physical progress at 28.2%.,photos/synth_work_MPLAD-WRK-000023_stage_2.jpg,True
UPD-DEMO-0000088,MPLAD-WRK-000023,2024-02-05,39.8,Structural Construction,193557.95,Junior Engineer (Prayagraj Water Supply & Sanitation Board (Demo) Unit-3),Stage 'Structural Construction' executed. Physical progress at 39.8%.,photos/synth_work_MPLAD-WRK-000023_stage_3.jpg,True
UPD-DEMO-0000089,MPLAD-WRK-000023,2024-03-07,53.1,Finishing & Installations,258077.26,Junior Engineer (Prayagraj Water Supply & Sanitation Board (Demo) Unit-3),Stage 'Finishing & Installations' executed. Physical progress at 53.1%.,photos/synth_work_MPLAD-WRK-000023_stage_4.jpg,True
UPD-DEMO-0000090,MPLAD-WRK-000023,2024-04-17,67.1,Testing & Commissioning,322596.58,Junior Engineer (Prayagraj Water Supply & Sanitation Board (Demo) Unit-3),Stage 'Testing & Commissioning' executed. Physical progress at 67.1%.,photos/synth_work_MPLAD-WRK-000023_stage_5.jpg,True
UPD-DEMO-0000091,MPLAD-WRK-000023,2024-05-25,83.9,Final Handover,387115.89,Junior Engineer (Prayagraj Water Supply & Sanitation Board (Demo) Unit-3),Stage 'Final Handover' executed. Physical progress at 83.9%.,photos/synth_work_MPLAD-WRK-000023_stage_6.jpg,True
UPD-DEMO-0000092,MPLAD-WRK-000023,2024-06-25,100.0,Final Handover,451635.21,Junior Engineer (Prayagraj Water Supply & Sanitation Board (Demo) Unit-3),Stage 'Final Handover' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000023_stage_7.jpg,True
UPD-DEMO-0000093,MPLAD-WRK-000024,2023-02-15,13.9,Planning & Mobilization,211246.58,Junior Engineer (Warangal State Renewable Energy Development Corp (Demo) Unit-5),Stage 'Planning & Mobilization' executed. Physical progress at 13.9%.,photos/synth_work_MPLAD-WRK-000024_stage_1.jpg,True
