sanction_id,work_id,sanction_order_number,sanction_date,sanctioned_amount,installment_schedule,approving_authority,synthetic_demo_data
SANC-DEMO-000044,MPLAD-WRK-000045,MPLAD/KAN/2022/00044,2022-11-11,666894.37,50-50,District Collector & Magistrate (Kanpur Nagar Demo),True
SANC-DEMO-000045,MPLAD-WRK-000046,MPLAD/AJM/2025/00045,2025-01-26,838171.07,50-50,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000046,MPLAD-WRK-000047,MPLAD/KHO/2024/00046,2024-03-17,1368308.5,40-40-20,District Collector & Magistrate (Khordha Demo),True
SANC-DEMO-000047,MPLAD-WRK-000048,MPLAD/JAI/2023/00047,2023-04-06,1216338.67,40-40-20,District Collector & Magistrate (Jaipur Demo),True
SANC-DEMO-000048,MPLAD-WRK-000049,MPLAD/KHO/2023/00048,2023-01-16,2520299.18,40-40-20,District Collector & Magistrate (Khordha Demo),True
SANC-DEMO-000049,MPLAD-WRK-000050,MPLAD/HYD/2022/00049,2022-12-18,1610415.84,40-40-20,District Collector & Magistrate (Hyderabad Demo),True
SANC-DEMO-000050,MPLAD-WRK-000051,MPLAD/VAR/2024/00050,2024-06-04,3597057.73,40-40-20,District Collector & Magistrate (Varanasi Demo),True
SANC-DEMO-000051,MPLAD-WRK-000052,MPLAD/NOR/2023/00051,2023-02-07,607656.77,50-50,District Collector & Magistrate (North 24 Parganas Demo),True
SANC-DEMO-000052,MPLAD-WRK-000053,MPLAD/PUR/2024/00052,2024-06-24,1156071.82,40-40-20,District Collector & Magistrate (Purba Medinipur Demo),True
SANC-DEMO-000053,MPLAD-WRK-000054,MPLAD/KOT/2023/00053,2023-06-03,1972736.85,40-40-20,District Collector & Magistrate (Kota Demo),True
SANC-DEMO-000054,MPLAD-WRK-000055,MPLAD/AJM/2024/00054,2024-11-06,1544124.61,40-40-20,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000055,MPLAD-WRK-000056,MPLAD/PUN/2023/00055,2023-03-29,4546848.46,40-40-20,District Collector & Magistrate (Pune Demo),True
SANC-DEMO-000056,MPLAD-WRK-000057,MPLAD/DAK/2022/00056,2022-09-26,1686584.87,40-40-20,District Collector & Magistrate (Dakshina Kannada Demo),True
SANC-DEMO-000057,MPLAD-WRK-000058,MPLAD/AGR/2024/00057,2024-04-21,1775684.72,40-40-20,District Collector & Magistrate (Agra Demo),True
SANC-DEMO-000058,MPLAD-WRK-000059,MPLAD/AJM/2024/00058,2024-11-14,2977866.2,40-40-20,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000059,MPLAD-WRK-000060,MPLAD/JOD/2023/00059,2023-08-11,306851.53,50-50,District Collector & Magistrate (Jodhpur Demo),True
SANC-DEMO-000060,MPLAD-WRK-000061,MPLAD/HYD/2023/00060,2023-02-24,625453.38,50-50,District Collector & Magistrate (Hyderabad Demo),True
SANC-DEMO-000061,MPLAD-WRK-000062,MPLAD/PRA/2023/00061,2023-02-11,1058406.94,40-40-20,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000062,MPLAD-WRK-000063,MPLAD/KOL/2023/00062,2023-02-14,1348243.17,40-40-20,District Collector & Magistrate (Kolkata Demo),True
SANC-DEMO-000063,MPLAD-WRK-000064,MPLAD/MYS/2022/00063,2022-09-23,898382.97,50-50,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000064,MPLAD-WRK-000065,MPLAD/SAL/2024/00064,2024-05-18,1354817.32,40-40-20,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000065,MPLAD-WRK-000066,MPLAD/DIB/2025/00065,2025-01-20,2046829.3,40-40-20,District Collector & Magistrate (Dibrugarh Demo),True
SANC-DEMO-000066,MPLAD-WRK-000067,MPLAD/SUR/2022/00066,2022-09-17,1707651.65,40-40-20,District Collector & Magistrate (Surat Demo),True
SANC-DEMO-000067,MPLAD-WRK-000068,MPLAD/ERN/2023/00067,2023-01-15,1436721.8,40-40-20,District Collector & Magistrate (Ernakulam Demo),True
SANC-DEMO-000068,MPLAD-WRK-000069,MPLAD/COI/2022/00068,2022-05-01,1909018.82,40-40-20,District Collector & Magistrate (Coimbatore Demo),True
SANC-DEMO-000069,MPLAD-WRK-000070,MPLAD/NAS/2024/00069,2024-05-20,928762.24,50-50,District Collector & Magistrate (Nashik Demo),True
SANC-DEMO-000070,MPLAD-WRK-000071,MPLAD/AGR/2023/00070,2023-09-17,1191322.8,40-40-20,District Collector & Magistrate (Agra Demo),True
SANC-DEMO-000071,MPLAD-WRK-000072,MPLAD/WAR/2023/00071,2023-10-18,804487.01,50-50,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000072,MPLAD-WRK-000073,MPLAD/IND/2024/00072,2024-04-10,1482401.25,40-40-20,District Collector & Magistrate (Indore Demo),True
SANC-DEMO-000073,MPLAD-WRK-000074,MPLAD/RAJ/2024/00073,2024-08-13,2501588.8,40-40-20,District Collector & Magistrate (Rajkot Demo),True
SANC-DEMO-000074,MPLAD-WRK-000075,MPLAD/KAN/2022/00074,2022-06-10,472268.52,50-50,District Collector & Magistrate (Kanpur Nagar Demo),True
SANC-DEMO-000075,MPLAD-WRK-000076,MPLAD/GAY/2024/00075,2024-03-12,1120970.43,40-40-20,District Collector & Magistrate (Gaya Demo),True
SANC-DEMO-000076,MPLAD-WRK-000077,MPLAD/VIS/2024/00076,2024-07-16,405109.61,50-50,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000077,MPLAD-WRK-000078,MPLAD/SUR/2023/00077,2023-02-12,2254116.65,40-40-20,District Collector & Magistrate (Surat Demo),True
SANC-DEMO-000078,MPLAD-WRK-000079,MPLAD/MAD/2022/00078,2022-05-26,2715172.36,40-40-20,District Collector & Magistrate (Madurai Demo),True
SANC-DEMO-000079,MPLAD-WRK-000080,MPLAD/KOZ/2024/00079,2024-12-17,1840879.03,40-40-20,District Collector & Magistrate (Kozhikode Demo),True
SANC-DEMO-000080,MPLAD-WRK-000081,MPLAD/MAD/2024/00080,2024-07-31,1674057.14,40-40-20,District Collector & Magistrate (Madurai Demo),True
SANC-DEMO-000081,MPLAD-WRK-000082,MPLAD/THI/2022/00081,2022-11-06,834691.53,50-50,District Collector & Magistrate (Thiruvananthapuram Demo),True
SANC-DEMO-000082,MPLAD-WRK-000083,MPLAD/KOT/2023/00082,2023-12-25,912000.35,50-50,District Collector & Magistrate (Kota Demo),True
SANC-DEMO-000083,MPLAD-WRK-000084,MPLAD/BHO/2023/00083,2023-09-23,854532.0,50-50,District Collector & Magistrate (Bhopal Demo),True
SANC-DEMO-000084,MPLAD-WRK-000085,MPLAD/AUR/2024/00084,2024-07-26,1390859.3,40-40-20,District Collector & Magistrate (Aurangabad Demo),True
SANC-DEMO-000085,MPLAD-WRK-000086,MPLAD/VAD/2023/00085,2023-04-19,3347594.53,40-40-20,District Collector & Magistrate (Vadodara Demo),True
SANC-DEMO-000086,MPLAD-WRK-000087,MPLAD/BEN/2023/00086,2023-12-04,165664.05,50-50,District Collector & Magistrate (Bengaluru Urban Demo),True
SANC-DEMO-000087,MPLAD-WRK-000088,MPLAD/AHM/2023/00087,2023-08-20,1537518.33,40-40-20,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000088,MPLAD-WRK-000089,MPLAD/PAT/2024/00088,2024-12-25,1934930.69,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000089,MPLAD-WRK-000090,MPLAD/AHM/2022/00089,2022-08-05,541673.19,50-50,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000090,MPLAD-WRK-000091,MPLAD/AJM/2022/00090,2022-09-18,314132.0,50-50,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000091,MPLAD-WRK-000092,MPLAD/TIR/2023/00091,2023-07-02,888282.55,50-50,District Collector & Magistrate (Tiruchirappalli Demo),True
SANC-DEMO-000092,MPLAD-WRK-000093,MPLAD/SAL/2024/00092,2024-01-07,941365.44,50-50,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000093,MPLAD-WRK-000094,MPLAD/SAL/2022/00093,2022-07-31,1001613.52,40-40-20,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000094,MPLAD-WRK-000095,MPLAD/THI/2023/00094,2023-02-14,1438148.16,40-40-20,District Collector & Magistrate (Thiruvananthapuram Demo),True
SANC-DEMO-000095,MPLAD-WRK-000096,MPLAD/KOZ/2022/00095,2022-06-25,3242050.47,40-40-20,District Collector & Magistrate (Kozhikode Demo),True
SANC-DEMO-000096,MPLAD-WRK-000097,MPLAD/NAG/2024/00096,2024-02-21,1971005.05,40-40-20,District Collector & Magistrate (Nagpur Demo),True
SANC-DEMO-000097,MPLAD-WRK-000098,MPLAD/PRA/2022/00097,2022-12-16,622636.69,50-50,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000098,MPLAD-WRK-000099,MPLAD/RAJ/2024/00098,2024-11-23,423962.93,50-50,District Collector & Magistrate (Rajkot Demo),True
SANC-DEMO-000099,MPLAD-WRK-000100,MPLAD/KRI/2023/00099,2023-03-15,1616419.07,40-40-20,District Collector & Magistrate (Krishna Demo),True
SANC-DEMO-000100,MPLAD-WRK-000101,MPLAD/VAD/2025/00100,2025-01-13,738835.93,50-50,District Collector & Magistrate (Vadodara Demo),True
SANC-DEMO-000101,MPLAD-WRK-000102,MPLAD/IND/2022/00101,2022-08-02,418036.16,50-50,District Collector & Magistrate (Indore Demo),True
SANC-DEMO-000102,MPLAD-WRK-000103,MPLAD/AJM/2024/00102,2024-08-26,960096.12,50-50,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000103,MPLAD-WRK-000104,MPLAD/CHE/2022/00103,2022-10-29,1728423.15,40-40-20,District Collector & Magistrate (Chennai Demo),True
SANC-DEMO-000104,MPLAD-WRK-000105,MPLAD/BHO/2023/00104,2023-11-22,378296.02,50-50,District Collector & Magistrate (Bhopal Demo),True
SANC-DEMO-000105,MPLAD-WRK-000106,MPLAD/BEL/2025/00105,2025-01-04,1808538.56,40-40-20,District Collector & Magistrate (Belagavi Demo),True
SANC-DEMO-000106,MPLAD-WRK-000107,MPLAD/SUR/2022/00106,2022-10-24,1354698.64,40-40-20,District Collector & Magistrate (Surat Demo),True
SANC-DEMO-000107,MPLAD-WRK-000108,MPLAD/AHM/2022/00107,2022-12-17,825548.53,50-50,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000108,MPLAD-WRK-000109,MPLAD/CHE/2024/00108,2024-07-22,1449697.2,40-40-20,District Collector & Magistrate (Chennai Demo),True
SANC-DEMO-000109,MPLAD-WRK-000110,MPLAD/MUZ/2023/00109,2023-05-13,383074.74,50-50,District Collector & Magistrate (Muzaffarpur Demo),True
SANC-DEMO-000110,MPLAD-WRK-000111,MPLAD/VIS/2024/00110,2024-06-16,2146854.74,40-40-20,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000111,MPLAD-WRK-000112,MPLAD/PAT/2022/00111,2022-11-29,1608200.64,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000112,MPLAD-WRK-000113,MPLAD/PAT/2022/00112,2022-05-30,281589.53,50-50,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000113,MPLAD-WRK-000114,MPLAD/KOL/2025/00113,2025-02-04,286030.48,50-50,District Collector & Magistrate (Kolkata Demo),True
SANC-DEMO-000114,MPLAD-WRK-000115,MPLAD/KAM/2023/00114,2023-04-12,615701.78,50-50,District Collector & Magistrate (Kamrup Metropolitan Demo),True
SANC-DEMO-000115,MPLAD-WRK-000116,MPLAD/KAN/2023/00115,2023-08-21,704949.74,50-50,District Collector & Magistrate (Kanpur Nagar Demo),True
SANC-DEMO-000116,MPLAD-WRK-000117,MPLAD/MYS/2024/00116,2024-01-10,1059785.4,40-40-20,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000117,MPLAD-WRK-000118,MPLAD/KHO/2022/00117,2022-09-15,3824898.92,40-40-20,District Collector & Magistrate (Khordha Demo),True
SANC-DEMO-000118,MPLAD-WRK-000119,MPLAD/NOR/2024/00118,2024-03-29,4035554.37,40-40-20,District Collector & Magistrate (North 24 Parganas Demo),True
SANC-DEMO-000119,MPLAD-WRK-000121,MPLAD/DAR/2023/00119,2023-03-19,968803.75,50-50,District Collector & Magistrate (Darjeeling Demo),True
SANC-DEMO-000120,MPLAD-WRK-000122,MPLAD/GWA/2024/00120,2024-05-18,361160.43,50-50,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000121,MPLAD-WRK-000123,MPLAD/MYS/2024/00121,2024-01-31,1656278.06,40-40-20,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000122,MPLAD-WRK-000124,MPLAD/SAL/2024/00122,2024-10-01,1262360.06,40-40-20,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000123,MPLAD-WRK-000125,MPLAD/ERN/2024/00123,2024-05-05,2299577.15,40-40-20,District Collector & Magistrate (Ernakulam Demo),True
SANC-DEMO-000124,MPLAD-WRK-000126,MPLAD/VIS/2022/00124,2022-05-13,382703.81,50-50,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000125,MPLAD-WRK-000127,MPLAD/DIB/2023/00125,2023-07-30,1632490.96,40-40-20,District Collector & Magistrate (Dibrugarh Demo),True
SANC-DEMO-000126,MPLAD-WRK-000128,MPLAD/DAR/2022/00126,2022-11-20,2148975.28,40-40-20,District Collector & Magistrate (Darjeeling Demo),True
SANC-DEMO-000127,MPLAD-WRK-000129,MPLAD/MYS/2025/00127,2025-02-16,823194.09,50-50,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000128,MPLAD-WRK-000130,MPLAD/DAR/2025/00128,2025-02-25,409017.79,50-50,District Collector & Magistrate (Darjeeling Demo),True
SANC-DEMO-000129,MPLAD-WRK-000131,MPLAD/IND/2024/00129,2024-10-03,1872304.63,40-40-20,District Collector & Magistrate (Indore Demo),True
SANC-DEMO-000130,MPLAD-WRK-000132,MPLAD/THA/2024/00130,2024-01-17,2251634.36,40-40-20,District Collector & Magistrate (Thane Demo),True
SANC-DEMO-000131,MPLAD-WRK-000133,MPLAD/GWA/2024/00131,2024-10-22,2514333.23,40-40-20,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000132,MPLAD-WRK-000134,MPLAD/IND/2023/00132,2023-07-15,1779517.84,40-40-20,District Collector & Magistrate (Indore Demo),True
SANC-DEMO-000133,MPLAD-WRK-000135,MPLAD/WAR/2022/00133,2022-08-07,2648722.87,40-40-20,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000134,MPLAD-WRK-000136,MPLAD/CHE/2022/00134,2022-11-17,1302239.39,40-40-20,District Collector & Magistrate (Chennai Demo),True
SANC-DEMO-000135,MPLAD-WRK-000137,MPLAD/AJM/2023/00135,2023-06-12,1281671.73,40-40-20,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000136,MPLAD-WRK-000138,MPLAD/BEL/2022/00136,2022-07-01,998278.01,50-50,District Collector & Magistrate (Belagavi Demo),True
SANC-DEMO-000137,MPLAD-WRK-000139,MPLAD/UDA/2022/00137,2022-08-15,932218.27,50-50,District Collector & Magistrate (Udaipur Demo),True
SANC-DEMO-000138,MPLAD-WRK-000140,MPLAD/AUR/2025/00138,2025-01-25,2230377.01,40-40-20,District Collector & Magistrate (Aurangabad Demo),True
SANC-DEMO-000139,MPLAD-WRK-000141,MPLAD/NAG/2025/00139,2025-01-21,2187923.58,40-40-20,District Collector & Magistrate (Nagpur Demo),True
SANC-DEMO-000140,MPLAD-WRK-000142,MPLAD/GWA/2024/00140,2024-07-18,945823.6,50-50,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000141,MPLAD-WRK-000143,MPLAD/VAD/2022/00141,2022-05-26,556116.34,50-50,District Collector & Magistrate (Vadodara Demo),True
SANC-DEMO-000142,MPLAD-WRK-000144,MPLAD/PRA/2023/00142,2023-05-07,2399055.92,40-40-20,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000143,MPLAD-WRK-000145,MPLAD/SUR/2025/00143,2025-01-23,2148295.19,40-40-20,District Collector & Magistrate (Surat Demo),True
SANC-DEMO-000144,MPLAD-WRK-000146,MPLAD/LUD/2022/00144,2022-12-04,1653052.07,40-40-20,District Collector & Magistrate (Ludhiana Demo),True
SANC-DEMO-000145,MPLAD-WRK-000147,MPLAD/VIS/2024/00145,2024-01-19,2849557.36,40-40-20,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000146,MPLAD-WRK-000148,MPLAD/LUC/2024/00146,2024-08-30,573053.52,50-50,District Collector & Magistrate (Lucknow Demo),True
SANC-DEMO-000147,MPLAD-WRK-000149,MPLAD/AHM/2024/00147,2024-08-03,948156.27,50-50,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000148,MPLAD-WRK-000150,MPLAD/RAJ/2023/00148,2023-08-29,1140377.84,40-40-20,District Collector & Magistrate (Rajkot Demo),True
SANC-DEMO-000149,MPLAD-WRK-000151,MPLAD/THI/2025/00149,2025-02-07,296546.59,50-50,District Collector & Magistrate (Thiruvananthapuram Demo),True
SANC-DEMO-000150,MPLAD-WRK-000152,MPLAD/VIS/2025/00150,2025-01-11,256531.45,50-50,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000151,MPLAD-WRK-000154,MPLAD/IND/2022/00151,2022-06-23,1154395.06,40-40-20,District Collector & Magistrate (Indore Demo),True
SANC-DEMO-000152,MPLAD-WRK-000155,MPLAD/GWA/2024/00152,2024-09-06,1570111.5,40-40-20,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000153,MPLAD-WRK-000156,MPLAD/KAN/2023/00153,2023-04-15,2145204.87,40-40-20,District Collector & Magistrate (Kanpur Nagar Demo),True
SANC-DEMO-000154,MPLAD-WRK-000157,MPLAD/THA/2022/00154,2022-05-10,586654.76,50-50,District Collector & Magistrate (Thane Demo),True
SANC-DEMO-000155,MPLAD-WRK-000158,MPLAD/WAR/2023/00155,2023-08-28,837884.41,50-50,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000156,MPLAD-WRK-000159,MPLAD/DAK/2024/00156,2024-09-17,1362900.82,40-40-20,District Collector & Magistrate (Dakshina Kannada Demo),True
SANC-DEMO-000157,MPLAD-WRK-000160,MPLAD/AJM/2022/00157,2022-06-05,1024817.72,40-40-20,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000158,MPLAD-WRK-000161,MPLAD/SAL/2023/00158,2023-02-09,2038711.89,40-40-20,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000159,MPLAD-WRK-000162,MPLAD/DHA/2024/00159,2024-09-10,1256912.42,40-40-20,District Collector & Magistrate (Dharwad Demo),True
SANC-DEMO-000160,MPLAD-WRK-000163,MPLAD/LUC/2022/00160,2022-10-06,2361180.49,40-40-20,District Collector & Magistrate (Lucknow Demo),True
SANC-DEMO-000161,MPLAD-WRK-000164,MPLAD/KRI/2023/00161,2023-02-13,5992006.46,40-40-20,District Collector & Magistrate (Krishna Demo),True
SANC-DEMO-000162,MPLAD-WRK-000165,MPLAD/THI/2023/00162,2023-06-28,833127.17,50-50,District Collector & Magistrate (Thiruvananthapuram Demo),True
SANC-DEMO-000163,MPLAD-WRK-000166,MPLAD/VIS/2024/00163,2024-03-11,1077043.51,40-40-20,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000164,MPLAD-WRK-000167,MPLAD/KOL/2024/00164,2024-05-30,2014611.53,40-40-20,District Collector & Magistrate (Kolkata Demo),True
SANC-DEMO-000165,MPLAD-WRK-000168,MPLAD/DHA/2022/00165,2022-12-28,2156068.9,40-40-20,District Collector & Magistrate (Dharwad Demo),True
SANC-DEMO-000166,MPLAD-WRK-000169,MPLAD/AGR/2022/00166,2022-12-06,927448.44,50-50,District Collector & Magistrate (Agra Demo),True
SANC-DEMO-000167,MPLAD-WRK-000170,MPLAD/LUD/2023/00167,2023-05-05,3515050.44,40-40-20,District Collector & Magistrate (Ludhiana Demo),True
SANC-DEMO-000168,MPLAD-WRK-000171,MPLAD/VAR/2024/00168,2024-07-23,1890232.94,40-40-20,District Collector & Magistrate (Varanasi Demo),True
SANC-DEMO-000169,MPLAD-WRK-000172,MPLAD/AUR/2023/00169,2023-06-04,250690.7,50-50,District Collector & Magistrate (Aurangabad Demo),True
SANC-DEMO-000170,MPLAD-WRK-000173,MPLAD/AHM/2024/00170,2024-07-04,960144.46,50-50,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000171,MPLAD-WRK-000174,MPLAD/RAJ/2022/00171,2022-05-27,1198481.26,40-40-20,District Collector & Magistrate (Rajkot Demo),True
