agency_id,agency_name,agency_type,state,district,nodal_officer_designation,contact_email_synthetic,performance_rating,active_status,synthetic_demo_data
AGY-SYNTH-0034,Gaya Zilla Parishad Engineering Division (Demo) Unit-4,Zilla Parishad Engineering Division (Demo),Bihar,Gaya,Nodal Officer (Demo Code 034),officer.demo.0034@gaya.synthetic.gov.in,4.63,Active,True
AGY-SYNTH-0035,Dharwad Municipal Engineering Cell (Demo) Unit-5,Municipal Engineering Cell (Demo),Karnataka,Dharwad,Nodal Officer (Demo Code 035),officer.demo.0035@dharwad.synthetic.gov.in,3.84,Active,True
AGY-SYNTH-0036,Cuttack Public Works Dept (Demo) Unit-1,Public Works Dept (Demo),Odisha,Cuttack,Nodal Officer (Demo Code 036),officer.demo.0036@cuttack.synthetic.gov.in,4.22,Active,True
AGY-SYNTH-0037,Madurai State Renewable Energy Development Corp (Demo) Unit-2,State Renewable Energy Development Corp (Demo),Tamil Nadu,Madurai,Nodal Officer (Demo Code 037),officer.demo.0037@madurai.synthetic.gov.in,4.69,Active,True
AGY-SYNTH-0038,Prayagraj Water Supply & Sanitation Board (Demo) Unit-3,Water Supply & Sanitation Board (Demo),Uttar Pradesh,Prayagraj,Nodal Officer (Demo Code 038),officer.demo.0038@prayagraj.synthetic.gov.in,3.3,Active,True
AGY-SYNTH-0039,Chennai Rural Development Agency (Demo) Unit-4,Rural Development Agency (Demo),Tamil Nadu,Chennai,Nodal Officer (Demo Code 039),officer.demo.0039@chennai.synthetic.gov.in,4.44,Active,True
AGY-SYNTH-0040,Khordha Municipal Engineering Cell (Demo) Unit-5,Municipal Engineering Cell (Demo),Odisha,Khordha,Nodal Officer (Demo Code 040),officer.demo.0040@khordha.synthetic.gov.in,3.42,Active,True
AGY-SYNTH-0041,Kozhikode Municipal Engineering Cell (Demo) Unit-1,Municipal Engineering Cell (Demo),Kerala,Kozhikode,Nodal Officer (Demo Code 041),officer.demo.0041@kozhikode.synthetic.gov.in,3.65,Active,True
AGY-SYNTH-0042,Vadodara Water Supply & Sanitation Board (Demo) Unit-2,Water Supply & Sanitation Board (Demo),Gujarat,Vadodara,Nodal Officer (Demo Code 042),officer.demo.0042@vadodara.synthetic.gov.in,4.78,Active,True
AGY-SYNTH-0043,Kamrup Metropolitan Water Supply & Sanitation Board (Demo) Unit-3,Water Supply & Sanitation Board (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 043),officer.demo.0043@kamrupmetropolitan.synthetic.gov.in,4.41,Active,True
AGY-SYNTH-0044,Hyderabad State Renewable Energy Development Corp (Demo) Unit-4,State Renewable Energy Development Corp (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 044),officer.demo.0044@hyderabad.synthetic.gov.in,3.94,Active,True
AGY-SYNTH-0045,Madurai Water Supply & Sanitation Board (Demo) Unit-5,Water Supply & Sanitation Board (Demo),Tamil Nadu,Madurai,Nodal Officer (Demo Code 045),officer.demo.0045@madurai.synthetic.gov.in,3.58,Active,True
AGY-SYNTH-0046,Indore Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 046),officer.demo.0046@indore.synthetic.gov.in,4.2,Suspended (Demo),True
AGY-SYNTH-0047,Dibrugarh Public Works Dept (Demo) Unit-2,Public Works Dept (Demo),Assam,Dibrugarh,Nodal Officer (Demo Code 047),officer.demo.0047@dibrugarh.synthetic.gov.in,3.59,Active,True
AGY-SYNTH-0048,Jodhpur Rural Development Agency (Demo) Unit-3,Rural Development Agency (Demo),Rajasthan,Jodhpur,Nodal Officer (Demo Code 048),officer.demo.0048@jodhpur.synthetic.gov.in,4.07,Active,True
AGY-SYNTH-0049,Darjeeling Water Supply & Sanitation Board (Demo) Unit-4,Water Supply & Sanitation Board (Demo),West Bengal,Darjeeling,Nodal Officer (Demo Code 049),officer.demo.0049@darjeeling.synthetic.gov.in,4.12,Active,True
AGY-SYNTH-0050,Bhopal State Sports Infrastructure Authority (Demo) Unit-5,State Sports Infrastructure Authority (Demo),Madhya Pradesh,Bhopal,Nodal Officer (Demo Code 050),officer.demo.0050@bhopal.synthetic.gov.in,3.61,Active,True
AGY-SYNTH-0051,Surat Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Gujarat,Surat,Nodal Officer (Demo Code 051),officer.demo.0051@surat.synthetic.gov.in,3.36,Active,True
AGY-SYNTH-0052,Udaipur Irrigation & Flood Management Dept (Demo) Unit-2,Irrigation & Flood Management Dept (Demo),Rajasthan,Udaipur,Nodal Officer (Demo Code 052),officer.demo.0052@udaipur.synthetic.gov.in,3.9,Active,True
AGY-SYNTH-0053,Aurangabad Rural Development Agency (Demo) Unit-3,Rural Development Agency (Demo),Maharashtra,Aurangabad,Nodal Officer (Demo Code 053),officer.demo.0053@aurangabad.synthetic.gov.in,3.3,Active,True
AGY-SYNTH-0054,Krishna Rural Development Agency (Demo) Unit-4,Rural Development Agency (Demo),Andhra Pradesh,Krishna,Nodal Officer (Demo Code 054),officer.demo.0054@krishna.synthetic.gov.in,3.62,Active,True
AGY-SYNTH-0055,Rajkot Municipal Engineering Cell (Demo) Unit-5,Municipal Engineering Cell (Demo),Gujarat,Rajkot,Nodal Officer (Demo Code 055),officer.demo.0055@rajkot.synthetic.gov.in,3.92,Active,True
AGY-SYNTH-0056,Lucknow Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Uttar Pradesh,Lucknow,Nodal Officer (Demo Code 056),officer.demo.0056@lucknow.synthetic.gov.in,3.95,Active,True
AGY-SYNTH-0057,Kozhikode Rural Development Agency (Demo) Unit-2,Rural Development Agency (Demo),Kerala,Kozhikode,Nodal Officer (Demo Code 057),officer.demo.0057@kozhikode.synthetic.gov.in,3.29,Active,True
AGY-SYNTH-0058,Pune Rural Development Agency (Demo) Unit-3,Rural Development Agency (Demo),Maharashtra,Pune,Nodal Officer (Demo Code 058),officer.demo.0058@pune.synthetic.gov.in,4.77,Active,True
AGY-SYNTH-0059,Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Karnataka,Bengaluru Urban,Nodal Officer (Demo Code 059),officer.demo.0059@bengaluruurban.synthetic.gov.in,4.03,Active,True
AGY-SYNTH-0060,Ahmedabad Public Works Dept (Demo) Unit-5,Public Works Dept (Demo),Gujarat,Ahmedabad,Nodal Officer (Demo Code 060),officer.demo.0060@ahmedabad.synthetic.gov.in,3.48,Suspended (Demo),True
AGY-SYNTH-0061,Ajmer Zilla Parishad Engineering Division (Demo) Unit-1,Zilla Parishad Engineering Division (Demo),Rajasthan,Ajmer,Nodal Officer (Demo Code 061),officer.demo.0061@ajmer.synthetic.gov.in,4.78,Active,True
AGY-SYNTH-0062,Agra Irrigation & Flood Management Dept (Demo) Unit-2,Irrigation & Flood Management Dept (Demo),Uttar Pradesh,Agra,Nodal Officer (Demo Code 062),officer.demo.0062@agra.synthetic.gov.in,4.38,Active,True
AGY-SYNTH-0063,Visakhapatnam State Sports Infrastructure Authority (Demo) Unit-3,State Sports Infrastructure Authority (Demo),Andhra Pradesh,Visakhapatnam,Nodal Officer (Demo Code 063),officer.demo.0063@visakhapatnam.synthetic.gov.in,3.46,Active,True
AGY-SYNTH-0064,Aurangabad Public Works Dept (Demo) Unit-4,Public Works Dept (Demo),Maharashtra,Aurangabad,Nodal Officer (Demo Code 064),officer.demo.0064@aurangabad.synthetic.gov.in,4.47,Active,True
AGY-SYNTH-0065,Indore State Sports Infrastructure Authority (Demo) Unit-5,State Sports Infrastructure Authority (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 065),officer.demo.0065@indore.synthetic.gov.in,4.05,Active,True
AGY-SYNTH-0066,Bengaluru Urban Public Works Dept (Demo) Unit-1,Public Works Dept (Demo),Karnataka,Bengaluru Urban,Nodal Officer (Demo Code 066),officer.demo.0066@bengaluruurban.synthetic.gov.in,4.83,Active,True
AGY-SYNTH-0067,Mysuru Rural Development Agency (Demo) Unit-2,Rural Development Agency (Demo),Karnataka,Mysuru,Nodal Officer (Demo Code 067),officer.demo.0067@mysuru.synthetic.gov.in,4.21,Active,True
AGY-SYNTH-0068,Lucknow Irrigation & Flood Management Dept (Demo) Unit-3,Irrigation & Flood Management Dept (Demo),Uttar Pradesh,Lucknow,Nodal Officer (Demo Code 068),officer.demo.0068@lucknow.synthetic.gov.in,3.4,Active,True
AGY-SYNTH-0069,Lucknow Public Works Dept (Demo) Unit-4,Public Works Dept (Demo),Uttar Pradesh,Lucknow,Nodal Officer (Demo Code 069),officer.demo.0069@lucknow.synthetic.gov.in,4.25,Active,True
AGY-SYNTH-0070,Indore State Renewable Energy Development Corp (Demo) Unit-5,State Renewable Energy Development Corp (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 070),officer.demo.0070@indore.synthetic.gov.in,4.79,Active,True
AGY-SYNTH-0071,Dibrugarh State Renewable Energy Development Corp (Demo) Unit-1,State Renewable Energy Development Corp (Demo),Assam,Dibrugarh,Nodal Officer (Demo Code 071),officer.demo.0071@dibrugarh.synthetic.gov.in,3.61,Active,True
AGY-SYNTH-0072,Hyderabad Zilla Parishad Engineering Division (Demo) Unit-2,Zilla Parishad Engineering Division (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 072),officer.demo.0072@hyderabad.synthetic.gov.in,3.98,Active,True
AGY-SYNTH-0073,Thane Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Maharashtra,Thane,Nodal Officer (Demo Code 073),officer.demo.0073@thane.synthetic.gov.in,3.98,Active,True
AGY-SYNTH-0074,Coimbatore Rural Development Agency (Demo) Unit-4,Rural Development Agency (Demo),Tamil Nadu,Coimbatore,Nodal Officer (Demo Code 074),officer.demo.0074@coimbatore.synthetic.gov.in,4.11,Active,True
AGY-SYNTH-0075,Tiruchirappalli State Renewable Energy Development Corp (Demo) Unit-5,State Renewable Energy Development Corp (Demo),Tamil Nadu,Tiruchirappalli,Nodal Officer (Demo Code 075),officer.demo.0075@tiruchirappalli.synthetic.gov.in,4.7,Active,True
AGY-SYNTH-0076,Kota Zilla Parishad Engineering Division (Demo) Unit-1,Zilla Parishad Engineering Division (Demo),Rajasthan,Kota,Nodal Officer (Demo Code 076),officer.demo.0076@kota.synthetic.gov.in,3.47,Active,True
AGY-SYNTH-0077,Dibrugarh Zilla Parishad Engineering Division (Demo) Unit-2,Zilla Parishad Engineering Division (Demo),Assam,Dibrugarh,Nodal Officer (Demo Code 077),officer.demo.0077@dibrugarh.synthetic.gov.in,4.24,Active,True
AGY-SYNTH-0078,Muzaffarpur Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Bihar,Muzaffarpur,Nodal Officer (Demo Code 078),officer.demo.0078@muzaffarpur.synthetic.gov.in,4.34,Active,True
AGY-SYNTH-0079,Hyderabad Rural Development Agency (Demo) Unit-4,Rural Development Agency (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 079),officer.demo.0079@hyderabad.synthetic.gov.in,4.8,Active,True
AGY-SYNTH-0080,Madurai Rural Development Agency (Demo) Unit-5,Rural Development Agency (Demo),Tamil Nadu,Madurai,Nodal Officer (Demo Code 080),officer.demo.0080@madurai.synthetic.gov.in,4.46,Active,True
AGY-SYNTH-0081,Agra Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Uttar Pradesh,Agra,Nodal Officer (Demo Code 081),officer.demo.0081@agra.synthetic.gov.in,4.42,Active,True
AGY-SYNTH-0082,Gaya Zilla Parishad Engineering Division (Demo) Unit-2,Zilla Parishad Engineering Division (Demo),Bihar,Gaya,Nodal Officer (Demo Code 082),officer.demo.0082@gaya.synthetic.gov.in,4.06,Active,True
AGY-SYNTH-0083,Aurangabad Rural Development Agency (Demo) Unit-3,Rural Development Agency (Demo),Maharashtra,Aurangabad,Nodal Officer (Demo Code 083),officer.demo.0083@aurangabad.synthetic.gov.in,4.28,Active,True
AGY-SYNTH-0084,Nashik Public Works Dept (Demo) Unit-4,Public Works Dept (Demo),Maharashtra,Nashik,Nodal Officer (Demo Code 084),officer.demo.0084@nashik.synthetic.gov.in,3.77,Active,True
AGY-SYNTH-0085,Varanasi Municipal Engineering Cell (Demo) Unit-5,Municipal Engineering Cell (Demo),Uttar Pradesh,Varanasi,Nodal Officer (Demo Code 085),officer.demo.0085@varanasi.synthetic.gov.in,4.46,Active,True
AGY-SYNTH-0086,Vadodara Public Works Dept (Demo) Unit-1,Public Works Dept (Demo),Gujarat,Vadodara,Nodal Officer (Demo Code 086),officer.demo.0086@vadodara.synthetic.gov.in,3.39,Active,True
AGY-SYNTH-0087,Kamrup Metropolitan Municipal Engineering Cell (Demo) Unit-2,Municipal Engineering Cell (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 087),officer.demo.0087@kamrupmetropolitan.synthetic.gov.in,4.13,Active,True
AGY-SYNTH-0088,Indore Municipal Engineering Cell (Demo) Unit-3,Municipal Engineering Cell (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 088),officer.demo.0088@indore.synthetic.gov.in,3.93,Suspended (Demo),True
AGY-SYNTH-0089,Kota Public Works Dept (Demo) Unit-4,Public Works Dept (Demo),Rajasthan,Kota,Nodal Officer (Demo Code 089),officer.demo.0089@kota.synthetic.gov.in,4.73,Active,True
AGY-SYNTH-0090,Lucknow Rural Development Agency (Demo) Unit-5,Rural Development Agency (Demo),Uttar Pradesh,Lucknow,Nodal Officer (Demo Code 090),officer.demo.0090@lucknow.synthetic.gov.in,3.8,Active,True
AGY-SYNTH-0091,Surat Municipal Engineering Cell (Demo) Unit-1,Municipal Engineering Cell (Demo),Gujarat,Surat,Nodal Officer (Demo Code 091),officer.demo.0091@surat.synthetic.gov.in,4.77,Active,True
AGY-SYNTH-0092,Bengaluru Urban Municipal Engineering Cell (Demo) Unit-2,Municipal Engineering Cell (Demo),Karnataka,Bengaluru Urban,Nodal Officer (Demo Code 092),officer.demo.0092@bengaluruurban.synthetic.gov.in,4.7,Suspended (Demo),True
AGY-SYNTH-0093,Ludhiana State Renewable Energy Development Corp (Demo) Unit-3,State Renewable Energy Development Corp (Demo),Punjab,Ludhiana,Nodal Officer (Demo Code 093),officer.demo.0093@ludhiana.synthetic.gov.in,4.53,Active,True
AGY-SYNTH-0094,Hyderabad Water Supply & Sanitation Board (Demo) Unit-4,Water Supply & Sanitation Board (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 094),officer.demo.0094@hyderabad.synthetic.gov.in,3.65,Active,True
AGY-SYNTH-0095,Coimbatore Irrigation & Flood Management Dept (Demo) Unit-5,Irrigation & Flood Management Dept (Demo),Tamil Nadu,Coimbatore,Nodal Officer (Demo Code 095),officer.demo.0095@coimbatore.synthetic.gov.in,4.68,Active,True
AGY-SYNTH-0096,Dakshina Kannada Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Karnataka,Dakshina Kannada,Nodal Officer (Demo Code 096),officer.demo.0096@dakshinakannada.synthetic.gov.in,4.59,Active,True
AGY-SYNTH-0097,Prayagraj Water Supply & Sanitation Board (Demo) Unit-2,Water Supply & Sanitation Board (Demo),Uttar Pradesh,Prayagraj,Nodal Officer (Demo Code 097),officer.demo.0097@prayagraj.synthetic.gov.in,3.58,Active,True
AGY-SYNTH-0098,Ahmedabad State Renewable Energy Development Corp (Demo) Unit-3,State Renewable Energy Development Corp (Demo),Gujarat,Ahmedabad,Nodal Officer (Demo Code 098),officer.demo.0098@ahmedabad.synthetic.gov.in,3.67,Active,True
AGY-SYNTH-0099,Cuttack Zilla Parishad Engineering Division (Demo) Unit-4,Zilla Parishad Engineering Division (Demo),Odisha,Cuttack,Nodal Officer (Demo Code 099),officer.demo.0099@cuttack.synthetic.gov.in,3.8,Active,True
AGY-SYNTH-0100,Warangal State Renewable Energy Development Corp (Demo) Unit-5,State Renewable Energy Development Corp (Demo),Telangana,Warangal,Nodal Officer (Demo Code 100),officer.demo.0100@warangal.synthetic.gov.in,4.8,Active,True
AGY-SYNTH-0101,Varanasi Municipal Engineering Cell (Demo) Unit-1,Municipal Engineering Cell (Demo),Uttar Pradesh,Varanasi,Nodal Officer (Demo Code 101),officer.demo.0101@varanasi.synthetic.gov.in,4.19,Active,True
AGY-SYNTH-0102,Nashik Rural Development Agency (Demo) Unit-2,Rural Development Agency (Demo),Maharashtra,Nashik,Nodal Officer (Demo Code 102),officer.demo.0102@nashik.synthetic.gov.in,4.21,Active,True
AGY-SYNTH-0103,Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3,State Renewable Energy Development Corp (Demo),Andhra Pradesh,Visakhapatnam,Nodal Officer (Demo Code 103),officer.demo.0103@visakhapatnam.synthetic.gov.in,3.94,Active,True
AGY-SYNTH-0104,Madurai Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Tamil Nadu,Madurai,Nodal Officer (Demo Code 104),officer.demo.0104@madurai.synthetic.gov.in,4.73,Active,True
AGY-SYNTH-0105,Nashik Irrigation & Flood Management Dept (Demo) Unit-5,Irrigation & Flood Management Dept (Demo),Maharashtra,Nashik,Nodal Officer (Demo Code 105),officer.demo.0105@nashik.synthetic.gov.in,3.2,Active,True
AGY-SYNTH-0106,Ernakulam Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Kerala,Ernakulam,Nodal Officer (Demo Code 106),officer.demo.0106@ernakulam.synthetic.gov.in,3.82,Active,True
AGY-SYNTH-0107,Hyderabad State Renewable Energy Development Corp (Demo) Unit-2,State Renewable Energy Development Corp (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 107),officer.demo.0107@hyderabad.synthetic.gov.in,4.26,Active,True
AGY-SYNTH-0108,Madurai Zilla Parishad Engineering Division (Demo) Unit-3,Zilla Parishad Engineering Division (Demo),Tamil Nadu,Madurai,Nodal Officer (Demo Code 108),officer.demo.0108@madurai.synthetic.gov.in,4.06,Active,True
AGY-SYNTH-0109,Jaipur Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Rajasthan,Jaipur,Nodal Officer (Demo Code 109),officer.demo.0109@jaipur.synthetic.gov.in,4.39,Active,True
AGY-SYNTH-0110,Dharwad Irrigation & Flood Management Dept (Demo) Unit-5,Irrigation & Flood Management Dept (Demo),Karnataka,Dharwad,Nodal Officer (Demo Code 110),officer.demo.0110@dharwad.synthetic.gov.in,4.33,Active,True
AGY-SYNTH-0111,Ludhiana Municipal Engineering Cell (Demo) Unit-1,Municipal Engineering Cell (Demo),Punjab,Ludhiana,Nodal Officer (Demo Code 111),officer.demo.0111@ludhiana.synthetic.gov.in,4.25,Active,True
AGY-SYNTH-0112,Kozhikode Public Works Dept (Demo) Unit-2,Public Works Dept (Demo),Kerala,Kozhikode,Nodal Officer (Demo Code 112),officer.demo.0112@kozhikode.synthetic.gov.in,3.72,Active,True
AGY-SYNTH-0113,Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3,State Renewable Energy Development Corp (Demo),Andhra Pradesh,Visakhapatnam,Nodal Officer (Demo Code 113),officer.demo.0113@visakhapatnam.synthetic.gov.in,3.99,Active,True
AGY-SYNTH-0114,Belagavi State Sports Infrastructure Authority (Demo) Unit-4,State Sports Infrastructure Authority (Demo),Karnataka,Belagavi,Nodal Officer (Demo Code 114),officer.demo.0114@belagavi.synthetic.gov.in,4.55,Active,True
AGY-SYNTH-0115,Ludhiana Municipal Engineering Cell (Demo) Unit-5,Municipal Engineering Cell (Demo),Punjab,Ludhiana,Nodal Officer (Demo Code 115),officer.demo.0115@ludhiana.synthetic.gov.in,4.32,Active,True
