inspection_id,work_id,inspection_date,inspector_designation,inspection_stage,rating,findings_summary,defects_observed,rectification_deadline,inspection_photo_ref,synthetic_demo_data
INSP-DEMO-000042,MPLAD-WRK-000031,2023-09-01,Executive Engineer - PWD (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000042.jpg,True
INSP-DEMO-000043,MPLAD-WRK-000031,2023-10-17,District Planning Officer (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000043.jpg,True
INSP-DEMO-000044,MPLAD-WRK-000032,2022-07-29,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000044.jpg,True
INSP-DEMO-000045,MPLAD-WRK-000033,2023-05-09,District Planning Officer (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000045.jpg,True
INSP-DEMO-000046,MPLAD-WRK-000034,2023-12-20,District Planning Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000046.jpg,True
INSP-DEMO-000047,MPLAD-WRK-000035,2024-07-18,District Planning Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000047.jpg,True
INSP-DEMO-000048,MPLAD-WRK-000036,2023-12-09,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Requires Rectification,Site inspection conducted. Quality benchmark verified as Requires Rectification.,True,2024-01-08,inspections/insp_demo_000048.jpg,True
INSP-DEMO-000049,MPLAD-WRK-000038,2024-04-20,Independent Quality Assessor (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000049.jpg,True
INSP-DEMO-000050,MPLAD-WRK-000039,2023-12-25,District Planning Officer (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000050.jpg,True
INSP-DEMO-000051,MPLAD-WRK-000039,2024-03-06,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000051.jpg,True
INSP-DEMO-000052,MPLAD-WRK-000040,2023-02-12,Independent Quality Assessor (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000052.jpg,True
INSP-DEMO-000053,MPLAD-WRK-000041,2025-02-10,District Planning Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000053.jpg,True
INSP-DEMO-000054,MPLAD-WRK-000042,2022-12-03,Executive Engineer - PWD (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000054.jpg,True
INSP-DEMO-000055,MPLAD-WRK-000043,2024-07-31,Sub-Divisional Officer (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000055.jpg,True
INSP-DEMO-000056,MPLAD-WRK-000043,2024-09-25,Executive Engineer - PWD (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000056.jpg,True
INSP-DEMO-000057,MPLAD-WRK-000044,2025-04-06,Independent Quality Assessor (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000057.jpg,True
INSP-DEMO-000058,MPLAD-WRK-000044,2025-06-16,Independent Quality Assessor (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000058.jpg,True
INSP-DEMO-000059,MPLAD-WRK-000045,2023-02-10,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000059.jpg,True
INSP-DEMO-000060,MPLAD-WRK-000047,2024-06-09,Executive Engineer - PWD (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000060.jpg,True
INSP-DEMO-000061,MPLAD-WRK-000048,2023-06-04,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000061.jpg,True
INSP-DEMO-000062,MPLAD-WRK-000049,2023-03-11,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000062.jpg,True
INSP-DEMO-000063,MPLAD-WRK-000050,2023-03-07,District Planning Officer (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000063.jpg,True
INSP-DEMO-000064,MPLAD-WRK-000051,2024-08-19,Sub-Divisional Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000064.jpg,True
INSP-DEMO-000065,MPLAD-WRK-000052,2023-04-22,Executive Engineer - PWD (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000065.jpg,True
INSP-DEMO-000066,MPLAD-WRK-000053,2024-09-15,Junior Engineer - Zilla Parishad (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000066.jpg,True
INSP-DEMO-000067,MPLAD-WRK-000053,2024-10-28,Sub-Divisional Officer (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000067.jpg,True
INSP-DEMO-000068,MPLAD-WRK-000054,2023-08-24,District Planning Officer (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000068.jpg,True
INSP-DEMO-000069,MPLAD-WRK-000055,2025-01-15,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000069.jpg,True
INSP-DEMO-000070,MPLAD-WRK-000056,2023-06-16,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000070.jpg,True
INSP-DEMO-000071,MPLAD-WRK-000057,2022-12-09,Independent Quality Assessor (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000071.jpg,True
INSP-DEMO-000072,MPLAD-WRK-000057,2023-02-10,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000072.jpg,True
INSP-DEMO-000073,MPLAD-WRK-000059,2025-01-04,Independent Quality Assessor (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000073.jpg,True
INSP-DEMO-000074,MPLAD-WRK-000060,2023-11-09,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000074.jpg,True
INSP-DEMO-000075,MPLAD-WRK-000063,2023-04-28,District Planning Officer (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000075.jpg,True
INSP-DEMO-000076,MPLAD-WRK-000064,2022-11-24,Executive Engineer - PWD (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000076.jpg,True
INSP-DEMO-000077,MPLAD-WRK-000064,2023-02-01,Executive Engineer - PWD (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000077.jpg,True
INSP-DEMO-000078,MPLAD-WRK-000064,2023-04-06,Independent Quality Assessor (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000078.jpg,True
INSP-DEMO-000079,MPLAD-WRK-000065,2024-08-15,Sub-Divisional Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000079.jpg,True
INSP-DEMO-000080,MPLAD-WRK-000066,2025-04-06,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000080.jpg,True
INSP-DEMO-000081,MPLAD-WRK-000067,2022-12-17,Junior Engineer - Zilla Parishad (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000081.jpg,True
INSP-DEMO-000082,MPLAD-WRK-000067,2023-02-02,Sub-Divisional Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000082.jpg,True
INSP-DEMO-000083,MPLAD-WRK-000068,2023-03-12,District Planning Officer (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000083.jpg,True
INSP-DEMO-000084,MPLAD-WRK-000068,2023-05-30,Technical Auditor - State Quality Monitor (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000084.jpg,True
INSP-DEMO-000085,MPLAD-WRK-000068,2023-07-31,Executive Engineer - PWD (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000085.jpg,True
INSP-DEMO-000086,MPLAD-WRK-000069,2022-07-23,Independent Quality Assessor (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000086.jpg,True
INSP-DEMO-000087,MPLAD-WRK-000070,2024-08-22,Sub-Divisional Officer (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000087.jpg,True
INSP-DEMO-000088,MPLAD-WRK-000071,2023-12-17,Independent Quality Assessor (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000088.jpg,True
INSP-DEMO-000089,MPLAD-WRK-000072,2024-01-08,Assistant Executive Engineer - Rural Works (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000089.jpg,True
INSP-DEMO-000090,MPLAD-WRK-000072,2024-03-14,District Planning Officer (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000090.jpg,True
INSP-DEMO-000091,MPLAD-WRK-000072,2024-05-12,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000091.jpg,True
INSP-DEMO-000092,MPLAD-WRK-000073,2024-06-20,Executive Engineer - PWD (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000092.jpg,True
INSP-DEMO-000093,MPLAD-WRK-000073,2024-09-09,Technical Auditor - State Quality Monitor (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000093.jpg,True
INSP-DEMO-000094,MPLAD-WRK-000073,2024-11-08,District Planning Officer (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000094.jpg,True
INSP-DEMO-000095,MPLAD-WRK-000074,2024-11-22,Independent Quality Assessor (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000095.jpg,True
INSP-DEMO-000096,MPLAD-WRK-000075,2022-09-04,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000096.jpg,True
INSP-DEMO-000097,MPLAD-WRK-000076,2024-06-06,Junior Engineer - Zilla Parishad (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000097.jpg,True
INSP-DEMO-000098,MPLAD-WRK-000076,2024-08-14,Executive Engineer - PWD (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000098.jpg,True
INSP-DEMO-000099,MPLAD-WRK-000077,2024-10-01,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000099.jpg,True
INSP-DEMO-000100,MPLAD-WRK-000078,2023-05-15,Sub-Divisional Officer (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000100.jpg,True
INSP-DEMO-000101,MPLAD-WRK-000079,2022-08-21,Independent Quality Assessor (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000101.jpg,True
INSP-DEMO-000102,MPLAD-WRK-000079,2022-10-12,District Planning Officer (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000102.jpg,True
INSP-DEMO-000103,MPLAD-WRK-000079,2022-12-22,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000103.jpg,True
INSP-DEMO-000104,MPLAD-WRK-000080,2025-03-20,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000104.jpg,True
INSP-DEMO-000105,MPLAD-WRK-000081,2024-11-21,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000105.jpg,True
INSP-DEMO-000106,MPLAD-WRK-000082,2023-01-23,Sub-Divisional Officer (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000106.jpg,True
INSP-DEMO-000107,MPLAD-WRK-000082,2023-03-23,Junior Engineer - Zilla Parishad (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000107.jpg,True
INSP-DEMO-000108,MPLAD-WRK-000082,2023-06-02,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000108.jpg,True
INSP-DEMO-000109,MPLAD-WRK-000084,2023-12-21,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000109.jpg,True
INSP-DEMO-000110,MPLAD-WRK-000085,2024-10-29,District Planning Officer (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000110.jpg,True
INSP-DEMO-000111,MPLAD-WRK-000085,2024-12-10,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000111.jpg,True
INSP-DEMO-000112,MPLAD-WRK-000086,2023-08-06,District Planning Officer (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000112.jpg,True
INSP-DEMO-000113,MPLAD-WRK-000086,2023-09-25,Independent Quality Assessor (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000113.jpg,True
INSP-DEMO-000114,MPLAD-WRK-000086,2023-11-28,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000114.jpg,True
INSP-DEMO-000115,MPLAD-WRK-000087,2024-02-16,Junior Engineer - Zilla Parishad (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000115.jpg,True
INSP-DEMO-000116,MPLAD-WRK-000087,2024-04-08,Assistant Executive Engineer - Rural Works (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000116.jpg,True
INSP-DEMO-000117,MPLAD-WRK-000087,2024-06-14,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000117.jpg,True
INSP-DEMO-000118,MPLAD-WRK-000088,2023-11-09,Junior Engineer - Zilla Parishad (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000118.jpg,True
INSP-DEMO-000119,MPLAD-WRK-000088,2024-01-06,Executive Engineer - PWD (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000119.jpg,True
INSP-DEMO-000120,MPLAD-WRK-000088,2024-03-05,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000120.jpg,True
INSP-DEMO-000121,MPLAD-WRK-000089,2025-04-23,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000121.jpg,True
INSP-DEMO-000122,MPLAD-WRK-000092,2023-09-20,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000122.jpg,True
INSP-DEMO-000123,MPLAD-WRK-000093,2024-03-21,District Planning Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000123.jpg,True
INSP-DEMO-000124,MPLAD-WRK-000094,2022-10-28,Independent Quality Assessor (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000124.jpg,True
