sanction_id,work_id,sanction_order_number,sanction_date,sanctioned_amount,installment_schedule,approving_authority,synthetic_demo_data
SANC-DEMO-000085,MPLAD-WRK-000087,MPLAD/SUR/2022/00085,2022-09-17,1707651.65,40-40-20,District Collector & Magistrate (Surat Demo),True
SANC-DEMO-000086,MPLAD-WRK-000088,MPLAD/ERN/2023/00086,2023-01-15,1436721.8,40-40-20,District Collector & Magistrate (Ernakulam Demo),True
SANC-DEMO-000087,MPLAD-WRK-000089,MPLAD/COI/2022/00087,2022-05-01,1909018.82,40-40-20,District Collector & Magistrate (Coimbatore Demo),True
SANC-DEMO-000088,MPLAD-WRK-000090,MPLAD/NAS/2024/00088,2024-05-20,928762.24,50-50,District Collector & Magistrate (Nashik Demo),True
SANC-DEMO-000089,MPLAD-WRK-000091,MPLAD/AGR/2023/00089,2023-09-17,1191322.8,40-40-20,District Collector & Magistrate (Agra Demo),True
SANC-DEMO-000090,MPLAD-WRK-000092,MPLAD/WAR/2023/00090,2023-10-18,804487.01,50-50,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000091,MPLAD-WRK-000093,MPLAD/IND/2024/00091,2024-04-10,1482401.25,40-40-20,District Collector & Magistrate (Indore Demo),True
SANC-DEMO-000092,MPLAD-WRK-000094,MPLAD/RAJ/2024/00092,2024-08-13,2501588.8,40-40-20,District Collector & Magistrate (Rajkot Demo),True
SANC-DEMO-000093,MPLAD-WRK-000095,MPLAD/KAN/2022/00093,2022-06-10,472268.52,50-50,District Collector & Magistrate (Kanpur Nagar Demo),True
SANC-DEMO-000094,MPLAD-WRK-000096,MPLAD/GAY/2024/00094,2024-03-12,1120970.43,40-40-20,District Collector & Magistrate (Gaya Demo),True
SANC-DEMO-000095,MPLAD-WRK-000097,MPLAD/VIS/2024/00095,2024-07-16,405109.61,50-50,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000096,MPLAD-WRK-000098,MPLAD/SUR/2023/00096,2023-02-12,2254116.65,40-40-20,District Collector & Magistrate (Surat Demo),True
SANC-DEMO-000097,MPLAD-WRK-000099,MPLAD/MAD/2022/00097,2022-05-26,2715172.36,40-40-20,District Collector & Magistrate (Madurai Demo),True
SANC-DEMO-000098,MPLAD-WRK-000100,MPLAD/KOZ/2024/00098,2024-12-17,1840879.03,40-40-20,District Collector & Magistrate (Kozhikode Demo),True
SANC-DEMO-000099,MPLAD-WRK-000101,MPLAD/MAD/2024/00099,2024-07-31,1674057.14,40-40-20,District Collector & Magistrate (Madurai Demo),True
SANC-DEMO-000100,MPLAD-WRK-000102,MPLAD/THI/2022/00100,2022-11-06,834691.53,50-50,District Collector & Magistrate (Thiruvananthapuram Demo),True
SANC-DEMO-000101,MPLAD-WRK-000103,MPLAD/KOT/2023/00101,2023-12-25,912000.35,50-50,District Collector & Magistrate (Kota Demo),True
SANC-DEMO-000102,MPLAD-WRK-000104,MPLAD/BHO/2023/00102,2023-09-23,854532.0,50-50,District Collector & Magistrate (Bhopal Demo),True
SANC-DEMO-000103,MPLAD-WRK-000105,MPLAD/AUR/2024/00103,2024-07-26,1390859.3,40-40-20,District Collector & Magistrate (Aurangabad Demo),True
SANC-DEMO-000104,MPLAD-WRK-000106,MPLAD/VAD/2023/00104,2023-04-19,3347594.53,40-40-20,District Collector & Magistrate (Vadodara Demo),True
SANC-DEMO-000105,MPLAD-WRK-000107,MPLAD/BEN/2023/00105,2023-12-04,165664.05,50-50,District Collector & Magistrate (Bengaluru Urban Demo),True
SANC-DEMO-000106,MPLAD-WRK-000108,MPLAD/AHM/2023/00106,2023-08-20,1537518.33,40-40-20,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000107,MPLAD-WRK-000109,MPLAD/PAT/2024/00107,2024-12-25,1934930.69,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000108,MPLAD-WRK-000110,MPLAD/AHM/2022/00108,2022-08-05,541673.19,50-50,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000109,MPLAD-WRK-000111,MPLAD/AJM/2022/00109,2022-09-18,314132.0,50-50,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000110,MPLAD-WRK-000112,MPLAD/TIR/2023/00110,2023-07-02,888282.55,50-50,District Collector & Magistrate (Tiruchirappalli Demo),True
SANC-DEMO-000111,MPLAD-WRK-000113,MPLAD/SAL/2024/00111,2024-01-07,941365.44,50-50,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000112,MPLAD-WRK-000114,MPLAD/SAL/2022/00112,2022-07-31,1001613.52,40-40-20,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000113,MPLAD-WRK-000115,MPLAD/THI/2023/00113,2023-02-14,1438148.16,40-40-20,District Collector & Magistrate (Thiruvananthapuram Demo),True
SANC-DEMO-000114,MPLAD-WRK-000116,MPLAD/KOZ/2022/00114,2022-06-25,3242050.47,40-40-20,District Collector & Magistrate (Kozhikode Demo),True
SANC-DEMO-000115,MPLAD-WRK-000117,MPLAD/NAG/2024/00115,2024-02-21,1971005.05,40-40-20,District Collector & Magistrate (Nagpur Demo),True
SANC-DEMO-000116,MPLAD-WRK-000118,MPLAD/PRA/2022/00116,2022-12-16,622636.69,50-50,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000117,MPLAD-WRK-000119,MPLAD/RAJ/2024/00117,2024-11-23,423962.93,50-50,District Collector & Magistrate (Rajkot Demo),True
SANC-DEMO-000118,MPLAD-WRK-000120,MPLAD/KRI/2023/00118,2023-03-15,1616419.07,40-40-20,District Collector & Magistrate (Krishna Demo),True
SANC-DEMO-000119,MPLAD-WRK-000121,MPLAD/VAD/2025/00119,2025-01-13,738835.93,50-50,District Collector & Magistrate (Vadodara Demo),True
SANC-DEMO-000120,MPLAD-WRK-000122,MPLAD/IND/2022/00120,2022-08-02,418036.16,50-50,District Collector & Magistrate (Indore Demo),True
SANC-DEMO-000121,MPLAD-WRK-000123,MPLAD/AJM/2024/00121,2024-08-26,960096.12,50-50,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000122,MPLAD-WRK-000124,MPLAD/CHE/2022/00122,2022-10-29,1728423.15,40-40-20,District Collector & Magistrate (Chennai Demo),True
SANC-DEMO-000123,MPLAD-WRK-000125,MPLAD/BHO/2023/00123,2023-11-22,378296.02,50-50,District Collector & Magistrate (Bhopal Demo),True
SANC-DEMO-000124,MPLAD-WRK-000126,MPLAD/BEL/2025/00124,2025-01-04,1808538.56,40-40-20,District Collector & Magistrate (Belagavi Demo),True
SANC-DEMO-000125,MPLAD-WRK-000127,MPLAD/SUR/2022/00125,2022-10-24,1354698.64,40-40-20,District Collector & Magistrate (Surat Demo),True
SANC-DEMO-000126,MPLAD-WRK-000128,MPLAD/AHM/2022/00126,2022-12-17,825548.53,50-50,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000127,MPLAD-WRK-000129,MPLAD/CHE/2024/00127,2024-07-22,1449697.2,40-40-20,District Collector & Magistrate (Chennai Demo),True
SANC-DEMO-000128,MPLAD-WRK-000130,MPLAD/MUZ/2023/00128,2023-05-13,383074.74,50-50,District Collector & Magistrate (Muzaffarpur Demo),True
SANC-DEMO-000129,MPLAD-WRK-000131,MPLAD/VIS/2024/00129,2024-06-16,2146854.74,40-40-20,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000130,MPLAD-WRK-000132,MPLAD/PAT/2022/00130,2022-11-29,1608200.64,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000131,MPLAD-WRK-000133,MPLAD/PAT/2022/00131,2022-05-30,281589.53,50-50,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000132,MPLAD-WRK-000134,MPLAD/KOL/2025/00132,2025-02-04,286030.48,50-50,District Collector & Magistrate (Kolkata Demo),True
SANC-DEMO-000133,MPLAD-WRK-000135,MPLAD/KAM/2023/00133,2023-04-12,615701.78,50-50,District Collector & Magistrate (Kamrup Metropolitan Demo),True
SANC-DEMO-000134,MPLAD-WRK-000136,MPLAD/KAN/2023/00134,2023-08-21,704949.74,50-50,District Collector & Magistrate (Kanpur Nagar Demo),True
SANC-DEMO-000135,MPLAD-WRK-000137,MPLAD/MYS/2024/00135,2024-01-10,1059785.4,40-40-20,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000136,MPLAD-WRK-000138,MPLAD/KHO/2022/00136,2022-09-15,3824898.92,40-40-20,District Collector & Magistrate (Khordha Demo),True
SANC-DEMO-000137,MPLAD-WRK-000139,MPLAD/NOR/2024/00137,2024-03-29,4035554.37,40-40-20,District Collector & Magistrate (North 24 Parganas Demo),True
SANC-DEMO-000138,MPLAD-WRK-000141,MPLAD/DAR/2023/00138,2023-03-19,968803.75,50-50,District Collector & Magistrate (Darjeeling Demo),True
SANC-DEMO-000139,MPLAD-WRK-000142,MPLAD/GWA/2024/00139,2024-05-18,361160.43,50-50,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000140,MPLAD-WRK-000143,MPLAD/MYS/2024/00140,2024-01-31,1656278.06,40-40-20,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000141,MPLAD-WRK-000144,MPLAD/SAL/2024/00141,2024-10-01,1262360.06,40-40-20,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000142,MPLAD-WRK-000145,MPLAD/ERN/2024/00142,2024-05-05,2299577.15,40-40-20,District Collector & Magistrate (Ernakulam Demo),True
SANC-DEMO-000143,MPLAD-WRK-000146,MPLAD/VIS/2022/00143,2022-05-13,382703.81,50-50,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000144,MPLAD-WRK-000147,MPLAD/DIB/2023/00144,2023-07-30,1632490.96,40-40-20,District Collector & Magistrate (Dibrugarh Demo),True
SANC-DEMO-000145,MPLAD-WRK-000148,MPLAD/DAR/2022/00145,2022-11-20,2148975.28,40-40-20,District Collector & Magistrate (Darjeeling Demo),True
SANC-DEMO-000146,MPLAD-WRK-000149,MPLAD/MYS/2025/00146,2025-02-16,823194.09,50-50,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000147,MPLAD-WRK-000150,MPLAD/DAR/2025/00147,2025-02-25,409017.79,50-50,District Collector & Magistrate (Darjeeling Demo),True
SANC-DEMO-000148,MPLAD-WRK-000151,MPLAD/IND/2024/00148,2024-10-03,1872304.63,40-40-20,District Collector & Magistrate (Indore Demo),True
SANC-DEMO-000149,MPLAD-WRK-000152,MPLAD/THA/2024/00149,2024-01-17,2251634.36,40-40-20,District Collector & Magistrate (Thane Demo),True
SANC-DEMO-000150,MPLAD-WRK-000153,MPLAD/GWA/2024/00150,2024-10-22,2514333.23,40-40-20,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000151,MPLAD-WRK-000154,MPLAD/IND/2023/00151,2023-07-15,1779517.84,40-40-20,District Collector & Magistrate (Indore Demo),True
SANC-DEMO-000152,MPLAD-WRK-000155,MPLAD/WAR/2022/00152,2022-08-07,2648722.87,40-40-20,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000153,MPLAD-WRK-000156,MPLAD/CHE/2022/00153,2022-11-17,1302239.39,40-40-20,District Collector & Magistrate (Chennai Demo),True
SANC-DEMO-000154,MPLAD-WRK-000157,MPLAD/AJM/2023/00154,2023-06-12,1281671.73,40-40-20,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000155,MPLAD-WRK-000158,MPLAD/BEL/2022/00155,2022-07-01,998278.01,50-50,District Collector & Magistrate (Belagavi Demo),True
SANC-DEMO-000156,MPLAD-WRK-000159,MPLAD/UDA/2022/00156,2022-08-15,932218.27,50-50,District Collector & Magistrate (Udaipur Demo),True
SANC-DEMO-000157,MPLAD-WRK-000160,MPLAD/AUR/2025/00157,2025-01-25,2230377.01,40-40-20,District Collector & Magistrate (Aurangabad Demo),True
SANC-DEMO-000158,MPLAD-WRK-000161,MPLAD/NAG/2025/00158,2025-01-21,2187923.58,40-40-20,District Collector & Magistrate (Nagpur Demo),True
SANC-DEMO-000159,MPLAD-WRK-000162,MPLAD/GWA/2024/00159,2024-07-18,945823.6,50-50,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000160,MPLAD-WRK-000163,MPLAD/VAD/2022/00160,2022-05-26,556116.34,50-50,District Collector & Magistrate (Vadodara Demo),True
SANC-DEMO-000161,MPLAD-WRK-000164,MPLAD/PRA/2023/00161,2023-05-07,2399055.92,40-40-20,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000162,MPLAD-WRK-000165,MPLAD/SUR/2025/00162,2025-01-23,2148295.19,40-40-20,District Collector & Magistrate (Surat Demo),True
SANC-DEMO-000163,MPLAD-WRK-000166,MPLAD/LUD/2022/00163,2022-12-04,1653052.07,40-40-20,District Collector & Magistrate (Ludhiana Demo),True
SANC-DEMO-000164,MPLAD-WRK-000167,MPLAD/VIS/2024/00164,2024-01-19,2849557.36,40-40-20,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000165,MPLAD-WRK-000168,MPLAD/LUC/2024/00165,2024-08-30,573053.52,50-50,District Collector & Magistrate (Lucknow Demo),True
SANC-DEMO-000166,MPLAD-WRK-000169,MPLAD/AHM/2024/00166,2024-08-03,948156.27,50-50,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000167,MPLAD-WRK-000170,MPLAD/RAJ/2023/00167,2023-08-29,1140377.84,40-40-20,District Collector & Magistrate (Rajkot Demo),True
SANC-DEMO-000168,MPLAD-WRK-000171,MPLAD/THI/2025/00168,2025-02-07,296546.59,50-50,District Collector & Magistrate (Thiruvananthapuram Demo),True
SANC-DEMO-000169,MPLAD-WRK-000172,MPLAD/VIS/2025/00169,2025-01-11,256531.45,50-50,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000170,MPLAD-WRK-000174,MPLAD/IND/2022/00170,2022-06-23,1154395.06,40-40-20,District Collector & Magistrate (Indore Demo),True
