asset_id,work_id,asset_name,category,location_description,latitude,longitude,handover_date,custodian_department,maintenance_status,synthetic_demo_data
AST-DEMO-000014,MPLAD-WRK-000038,Drinking Water Asset - Construction of Over-Head Water Storage ,Drinking Water,"Jaipur, Rajasthan",26.845454,75.777863,2024-04-03,Jaipur Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000015,MPLAD-WRK-000039,Renewable & Solar Energy Asset - Setting up of Rooftop Solar Power Plant ,Renewable & Solar Energy,"Salem, Tamil Nadu",11.593239,78.124087,2025-04-04,Salem Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000016,MPLAD-WRK-000040,Sports & Youth Development Asset - Development of Playground with Fencing a,Sports & Youth Development,"Gaya, Bihar",24.788251,84.951846,2025-06-06,Gaya Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000017,MPLAD-WRK-000043,Drinking Water Asset - Rejuvenation of Traditional Drinking Wat,Drinking Water,"Prayagraj, Uttar Pradesh",25.455264,81.799258,2024-04-09,Prayagraj Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000018,MPLAD-WRK-000044,Community Infrastructure & Halls Asset - Construction of Farmers Agro-Produce Sto,Community Infrastructure & Halls,"Warangal, Telangana",17.921763,79.614425,2024-01-04,Warangal Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000019,MPLAD-WRK-000045,Sports & Youth Development Asset - Development of Playground with Fencing a,Sports & Youth Development,"Cuttack, Odisha",20.518721,85.812635,2025-03-25,Cuttack Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000020,MPLAD-WRK-000046,Community Infrastructure & Halls Asset - Construction of Farmers Agro-Produce Sto,Community Infrastructure & Halls,"Agra, Uttar Pradesh",27.123026,78.02796,2023-06-22,Agra Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000021,MPLAD-WRK-000047,Drinking Water Asset - Installation of RO Clean Drinking Water ,Drinking Water,"Jodhpur, Rajasthan",26.176263,73.048976,2025-03-30,Jodhpur Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000022,MPLAD-WRK-000049,Community Infrastructure & Halls Asset - Upgradation of Cultural Community Centre,Community Infrastructure & Halls,"Gwalior, Madhya Pradesh",26.283389,78.127597,2023-07-29,Gwalior Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000023,MPLAD-WRK-000051,Irrigation & Flood Control Asset - Installation of Community Lift Irrigatio,Irrigation & Flood Control,"Nagpur, Maharashtra",21.181917,79.013585,2024-05-18,Nagpur Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000024,MPLAD-WRK-000055,Sports & Youth Development Asset - Development of Rural Sports Stadium with,Sports & Youth Development,"Nashik, Maharashtra",19.997334,73.847217,2024-12-01,Nashik Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000025,MPLAD-WRK-000059,"Roads, Pathways & Bridges Asset - Construction of High-Level RCC Box Culve","Roads, Pathways & Bridges","Thane, Maharashtra",19.209033,72.966048,2024-09-02,Thane Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000026,MPLAD-WRK-000061,Education Infrastructure Asset - Installation of Rooftop Solar Energy Sys,Education Infrastructure,"Varanasi, Uttar Pradesh",25.388206,82.987359,2025-09-21,Varanasi Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000027,MPLAD-WRK-000063,Renewable & Solar Energy Asset - Installation of High-Mast Solar Street L,Renewable & Solar Energy,"Patna, Bihar",25.539258,85.208733,2024-11-25,Patna Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000028,MPLAD-WRK-000064,Drinking Water Asset - Construction of Over-Head Water Storage ,Drinking Water,"Dharwad, Karnataka",15.410538,75.063372,2025-09-05,Dharwad Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000029,MPLAD-WRK-000068,Drinking Water Asset - Installation of RO Clean Drinking Water ,Drinking Water,"Jaipur, Rajasthan",26.8381,75.792367,2023-11-23,Jaipur Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000030,MPLAD-WRK-000071,"Roads, Pathways & Bridges Asset - Paving of Paver-Block Pedestrian Pathway","Roads, Pathways & Bridges","Varanasi, Uttar Pradesh",25.291899,83.033079,2025-06-11,Varanasi Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000031,MPLAD-WRK-000072,Sports & Youth Development Asset - Construction of Multi-Sport Outdoor Gymn,Sports & Youth Development,"North 24 Parganas, West Bengal",22.750285,88.494089,2023-12-06,North 24 Parganas Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000032,MPLAD-WRK-000073,Sports & Youth Development Asset - Construction of Youth Skill Development ,Sports & Youth Development,"Purba Medinipur, West Bengal",21.909009,87.850801,2025-04-18,Purba Medinipur Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000033,MPLAD-WRK-000076,Education Infrastructure Asset - Construction of Additional Smart Classro,Education Infrastructure,"Pune, Maharashtra",18.567504,73.797072,2024-03-07,Pune Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000034,MPLAD-WRK-000077,Irrigation & Flood Control Asset - Rehabilitation of Traditional Irrigation,Irrigation & Flood Control,"Dakshina Kannada, Karnataka",12.863239,74.907902,2023-07-29,Dakshina Kannada Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000035,MPLAD-WRK-000084,"Education Infrastructure Asset - Construction of Boundary Wall, Gates and",Education Infrastructure,"Mysuru, Karnataka",12.303539,76.64592,2023-09-09,Mysuru Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000036,MPLAD-WRK-000085,Sports & Youth Development Asset - Laying of Synthetic Volleyball and Badmi,Sports & Youth Development,"Salem, Tamil Nadu",11.676095,78.156524,2025-04-30,Salem Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000037,MPLAD-WRK-000087,Health & Sanitation Asset - Establishment of Solid Waste Management ,Health & Sanitation,"Surat, Gujarat",21.186027,72.782713,2023-05-02,Surat Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000038,MPLAD-WRK-000088,Renewable & Solar Energy Asset - Installation of Solar-Powered Cold Stora,Renewable & Solar Energy,"Ernakulam, Kerala",9.970511,76.312706,2023-07-29,Ernakulam Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000039,MPLAD-WRK-000090,"Irrigation & Flood Control Asset - Desilting, Deepening and Concrete Lining",Irrigation & Flood Control,"Nashik, Maharashtra",20.004939,73.823721,2025-04-08,Nashik Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000040,MPLAD-WRK-000092,"Roads, Pathways & Bridges Asset - Paving of Paver-Block Pedestrian Pathway","Roads, Pathways & Bridges","Warangal, Telangana",18.008537,79.600321,2024-10-27,Warangal Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000041,MPLAD-WRK-000093,"Education Infrastructure Asset - Construction of Boundary Wall, Gates and",Education Infrastructure,"Indore, Madhya Pradesh",22.712209,75.868411,2025-02-11,Indore Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000042,MPLAD-WRK-000096,Health & Sanitation Asset - Provision of Advanced Mobile Medical Dia,Health & Sanitation,"Gaya, Bihar",24.811057,85.020578,2025-03-18,Gaya Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000043,MPLAD-WRK-000097,Drinking Water Asset - Installation of Community Water Purifica,Drinking Water,"Visakhapatnam, Andhra Pradesh",17.709069,83.223292,2024-12-15,Visakhapatnam Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000044,MPLAD-WRK-000099,Community Infrastructure & Halls Asset - Construction of Modern Crematorium / Bur,Community Infrastructure & Halls,"Madurai, Tamil Nadu",9.953461,78.068049,2023-03-13,Madurai Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000045,MPLAD-WRK-000102,Drinking Water Asset - Rejuvenation of Traditional Drinking Wat,Drinking Water,"Thiruvananthapuram, Kerala",8.561016,76.976543,2023-07-01,Thiruvananthapuram Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000046,MPLAD-WRK-000105,Community Infrastructure & Halls Asset - Construction of Farmers Agro-Produce Sto,Community Infrastructure & Halls,"Aurangabad, Maharashtra",19.872578,75.380097,2025-06-13,Aurangabad Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000047,MPLAD-WRK-000106,Irrigation & Flood Control Asset - Construction of Flood Protection Embankm,Irrigation & Flood Control,"Vadodara, Gujarat",22.34586,73.234115,2024-02-17,Vadodara Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000048,MPLAD-WRK-000107,Drinking Water Asset - Provision of Deep Borewell with Solar Su,Drinking Water,"Bengaluru Urban, Karnataka",13.032181,77.592299,2024-05-19,Bengaluru Urban Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000049,MPLAD-WRK-000108,Health & Sanitation Asset - Construction of Modern Primary Health Su,Health & Sanitation,"Ahmedabad, Gujarat",23.028835,72.527414,2024-04-17,Ahmedabad Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000050,MPLAD-WRK-000113,Health & Sanitation Asset - Provision of Advanced Mobile Medical Dia,Health & Sanitation,"Salem, Tamil Nadu",11.658096,78.199312,2024-11-06,Salem Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000051,MPLAD-WRK-000116,Irrigation & Flood Control Asset - Construction of Check Dam and Water Harv,Irrigation & Flood Control,"Kozhikode, Kerala",11.256024,75.79948,2023-07-29,Kozhikode Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000052,MPLAD-WRK-000117,Irrigation & Flood Control Asset - Installation of Community Lift Irrigatio,Irrigation & Flood Control,"Nagpur, Maharashtra",21.195219,79.058594,2025-01-14,Nagpur Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000053,MPLAD-WRK-000120,Sports & Youth Development Asset - Development of Rural Sports Stadium with,Sports & Youth Development,"Krishna, Andhra Pradesh",16.179026,81.065105,2023-12-09,Krishna Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000054,MPLAD-WRK-000121,Renewable & Solar Energy Asset - Installation of Solar Water Pumping Syst,Renewable & Solar Energy,"Vadodara, Gujarat",22.321939,73.209026,2025-08-27,Vadodara Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000055,MPLAD-WRK-000123,Renewable & Solar Energy Asset - Installation of Solar Water Pumping Syst,Renewable & Solar Energy,"Ajmer, Rajasthan",26.521146,74.585266,2024-12-05,Ajmer Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000056,MPLAD-WRK-000125,Drinking Water Asset - Rejuvenation of Traditional Drinking Wat,Drinking Water,"Bhopal, Madhya Pradesh",23.32142,77.448445,2024-05-24,Bhopal Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000057,MPLAD-WRK-000126,Irrigation & Flood Control Asset - Construction of Check Dam and Water Harv,Irrigation & Flood Control,"Belagavi, Karnataka",15.776479,74.561783,2025-12-05,Belagavi Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000058,MPLAD-WRK-000127,Education Infrastructure Asset - Construction of Multi-Purpose Auditorium,Education Infrastructure,"Surat, Gujarat",21.193659,72.891085,2023-08-28,Surat Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000059,MPLAD-WRK-000128,Health & Sanitation Asset - Procurement of Diagnostic Imaging & Ultr,Health & Sanitation,"Ahmedabad, Gujarat",23.081977,72.518728,2023-08-20,Ahmedabad Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000060,MPLAD-WRK-000129,Irrigation & Flood Control Asset - Rehabilitation of Traditional Irrigation,Irrigation & Flood Control,"Chennai, Tamil Nadu",13.020429,80.290619,2025-06-20,Chennai Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000061,MPLAD-WRK-000134,Drinking Water Asset - Installation of RO Clean Drinking Water ,Drinking Water,"Kolkata, West Bengal",22.527413,88.390428,2025-10-31,Kolkata Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000062,MPLAD-WRK-000136,Drinking Water Asset - Rejuvenation of Traditional Drinking Wat,Drinking Water,"Kanpur Nagar, Uttar Pradesh",26.438755,80.316048,2024-04-13,Kanpur Nagar Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000063,MPLAD-WRK-000141,Health & Sanitation Asset - Upgradation of Pediatric & Maternal Care,Health & Sanitation,"Darjeeling, West Bengal",27.012212,88.251544,2024-02-19,Darjeeling Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000064,MPLAD-WRK-000142,Drinking Water Asset - Rejuvenation of Traditional Drinking Wat,Drinking Water,"Gwalior, Madhya Pradesh",26.252478,78.174433,2024-12-24,Gwalior Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000065,MPLAD-WRK-000144,Irrigation & Flood Control Asset - Installation of Community Lift Irrigatio,Irrigation & Flood Control,"Salem, Tamil Nadu",11.679114,78.09607,2025-07-07,Salem Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000066,MPLAD-WRK-000148,Education Infrastructure Asset - Provision of Composite Science Laborator,Education Infrastructure,"Darjeeling, West Bengal",27.00093,88.255006,2023-09-12,Darjeeling Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000067,MPLAD-WRK-000151,Education Infrastructure Asset - Installation of Rooftop Solar Energy Sys,Education Infrastructure,"Indore, Madhya Pradesh",22.730153,75.831063,2025-08-18,Indore Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000068,MPLAD-WRK-000152,Sports & Youth Development Asset - Construction of Youth Skill Development ,Sports & Youth Development,"Thane, Maharashtra",19.275434,72.997277,2024-09-24,Thane Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000069,MPLAD-WRK-000153,"Roads, Pathways & Bridges Asset - Paving of Paver-Block Pedestrian Pathway","Roads, Pathways & Bridges","Gwalior, Madhya Pradesh",26.239944,78.114135,2025-07-20,Gwalior Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000070,MPLAD-WRK-000156,Sports & Youth Development Asset - Construction of Youth Skill Development ,Sports & Youth Development,"Chennai, Tamil Nadu",13.111982,80.309996,2023-08-11,Chennai Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000071,MPLAD-WRK-000161,Community Infrastructure & Halls Asset - Upgradation of Cultural Community Centre,Community Infrastructure & Halls,"Nagpur, Maharashtra",21.212913,79.163173,2025-12-22,Nagpur Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000072,MPLAD-WRK-000162,Health & Sanitation Asset - Construction of Public Sanitation Comple,Health & Sanitation,"Gwalior, Madhya Pradesh",26.237903,78.121742,2025-05-29,Gwalior Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000073,MPLAD-WRK-000163,Renewable & Solar Energy Asset - Installation of High-Mast Solar Street L,Renewable & Solar Energy,"Vadodara, Gujarat",22.279292,73.214814,2023-01-25,Vadodara Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000074,MPLAD-WRK-000164,Education Infrastructure Asset - Setting up of Digital STEM Learning and ,Education Infrastructure,"Prayagraj, Uttar Pradesh",25.405938,81.840814,2024-03-23,Prayagraj Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000075,MPLAD-WRK-000165,Sports & Youth Development Asset - Construction of Indoor Gymnasium and Phy,Sports & Youth Development,"Surat, Gujarat",21.228571,72.773641,2025-08-22,Surat Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000076,MPLAD-WRK-000166,Education Infrastructure Asset - Installation of Rooftop Solar Energy Sys,Education Infrastructure,"Ludhiana, Punjab",30.879557,75.806091,2023-08-17,Ludhiana Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000077,MPLAD-WRK-000168,Health & Sanitation Asset - Establishment of Solid Waste Management ,Health & Sanitation,"Lucknow, Uttar Pradesh",26.822446,80.931448,2025-07-28,Lucknow Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000078,MPLAD-WRK-000171,Renewable & Solar Energy Asset - Installation of Solar Water Pumping Syst,Renewable & Solar Energy,"Thiruvananthapuram, Kerala",8.517415,76.866491,2025-08-22,Thiruvananthapuram Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000079,MPLAD-WRK-000172,Renewable & Solar Energy Asset - Installation of High-Mast Solar Street L,Renewable & Solar Energy,"Visakhapatnam, Andhra Pradesh",17.746843,83.260702,2025-05-24,Visakhapatnam Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000080,MPLAD-WRK-000174,Sports & Youth Development Asset - Development of Rural Sports Stadium with,Sports & Youth Development,"Indore, Madhya Pradesh",22.661797,75.7976,2023-04-21,Indore Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000081,MPLAD-WRK-000176,Community Infrastructure & Halls Asset - Upgradation of Cultural Community Centre,Community Infrastructure & Halls,"Kanpur Nagar, Uttar Pradesh",26.406528,80.332623,2023-12-20,Kanpur Nagar Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000082,MPLAD-WRK-000177,Drinking Water Asset - Rejuvenation of Traditional Drinking Wat,Drinking Water,"Thane, Maharashtra",19.245383,73.00948,2023-01-15,Thane Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000083,MPLAD-WRK-000179,Renewable & Solar Energy Asset - Installation of High-Mast Solar Street L,Renewable & Solar Energy,"Dakshina Kannada, Karnataka",12.917051,74.816512,2025-02-14,Dakshina Kannada Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000084,MPLAD-WRK-000180,Renewable & Solar Energy Asset - Installation of High-Mast Solar Street L,Renewable & Solar Energy,"Ajmer, Rajasthan",26.443012,74.614129,2023-03-10,Ajmer Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000085,MPLAD-WRK-000183,Sports & Youth Development Asset - Construction of Indoor Gymnasium and Phy,Sports & Youth Development,"Lucknow, Uttar Pradesh",26.917996,80.901068,2023-06-01,Lucknow Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000086,MPLAD-WRK-000184,Irrigation & Flood Control Asset - Construction of Rainwater Harvesting Sum,Irrigation & Flood Control,"Krishna, Andhra Pradesh",16.244052,81.169762,2024-01-22,Krishna Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000087,MPLAD-WRK-000185,Sports & Youth Development Asset - Construction of Indoor Gymnasium and Phy,Sports & Youth Development,"Thiruvananthapuram, Kerala",8.589425,76.917716,2024-05-06,Thiruvananthapuram Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000088,MPLAD-WRK-000191,"Roads, Pathways & Bridges Asset - Construction of Bridge over Canal with A","Roads, Pathways & Bridges","Varanasi, Uttar Pradesh",25.311804,82.911282,2025-05-03,Varanasi Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000089,MPLAD-WRK-000197,Community Infrastructure & Halls Asset - Construction of Farmers Agro-Produce Sto,Community Infrastructure & Halls,"Chennai, Tamil Nadu",13.009625,80.270805,2025-06-06,Chennai Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000090,MPLAD-WRK-000198,Irrigation & Flood Control Asset - Construction of Rainwater Harvesting Sum,Irrigation & Flood Control,"Gaya, Bihar",24.753512,85.011951,2023-05-21,Gaya Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000091,MPLAD-WRK-000199,Community Infrastructure & Halls Asset - Upgradation of Cultural Community Centre,Community Infrastructure & Halls,"Salem, Tamil Nadu",11.645498,78.176607,2023-03-21,Salem Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000092,MPLAD-WRK-000203,Sports & Youth Development Asset - Development of Rural Sports Stadium with,Sports & Youth Development,"Amritsar, Punjab",31.572371,74.908387,2025-06-15,Amritsar Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000093,MPLAD-WRK-000205,Renewable & Solar Energy Asset - Installation of Solar-Powered Cold Stora,Renewable & Solar Energy,"Darjeeling, West Bengal",26.985635,88.30414,2025-02-02,Darjeeling Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000094,MPLAD-WRK-000206,Irrigation & Flood Control Asset - Installation of Community Lift Irrigatio,Irrigation & Flood Control,"Coimbatore, Tamil Nadu",11.058177,77.029475,2025-07-22,Coimbatore Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000095,MPLAD-WRK-000210,Sports & Youth Development Asset - Development of Rural Sports Stadium with,Sports & Youth Development,"Prayagraj, Uttar Pradesh",25.449647,81.810159,2023-09-13,Prayagraj Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000096,MPLAD-WRK-000212,"Irrigation & Flood Control Asset - Desilting, Deepening and Concrete Lining",Irrigation & Flood Control,"Ludhiana, Punjab",30.900326,75.807873,2025-08-15,Ludhiana Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000097,MPLAD-WRK-000213,Irrigation & Flood Control Asset - Construction of Check Dam and Water Harv,Irrigation & Flood Control,"Prayagraj, Uttar Pradesh",25.431405,81.827446,2023-11-03,Prayagraj Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000098,MPLAD-WRK-000214,Health & Sanitation Asset - Construction of Public Sanitation Comple,Health & Sanitation,"Krishna, Andhra Pradesh",16.252366,81.165915,2023-02-25,Krishna Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000099,MPLAD-WRK-000215,Renewable & Solar Energy Asset - Installation of High-Mast Solar Street L,Renewable & Solar Energy,"Salem, Tamil Nadu",11.629687,78.113083,2024-03-12,Salem Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000100,MPLAD-WRK-000216,Health & Sanitation Asset - Construction of Public Sanitation Comple,Health & Sanitation,"Kozhikode, Kerala",11.271784,75.842227,2025-02-15,Kozhikode Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000101,MPLAD-WRK-000217,Sports & Youth Development Asset - Construction of Indoor Gymnasium and Phy,Sports & Youth Development,"Kota, Rajasthan",25.213054,75.86967,2023-03-16,Kota Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000102,MPLAD-WRK-000218,Community Infrastructure & Halls Asset - Construction of Village Panchayat Sabha ,Community Infrastructure & Halls,"Salem, Tamil Nadu",11.731264,78.203598,2024-08-04,Salem Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000103,MPLAD-WRK-000221,Community Infrastructure & Halls Asset - Upgradation of Cultural Community Centre,Community Infrastructure & Halls,"Kamrup Metropolitan, Assam",26.207754,91.763863,2025-05-18,Kamrup Metropolitan Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000104,MPLAD-WRK-000222,Community Infrastructure & Halls Asset - Development of Senior Citizens Recreatio,Community Infrastructure & Halls,"Prayagraj, Uttar Pradesh",25.377775,81.835418,2023-07-22,Prayagraj Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000105,MPLAD-WRK-000225,Drinking Water Asset - Installation of Community Water Purifica,Drinking Water,"Muzaffarpur, Bihar",26.192589,85.30847,2024-06-29,Muzaffarpur Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000106,MPLAD-WRK-000226,Education Infrastructure Asset - Construction of Additional Smart Classro,Education Infrastructure,"Ernakulam, Kerala",9.913807,76.238882,2024-05-03,Ernakulam Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000107,MPLAD-WRK-000227,"Roads, Pathways & Bridges Asset - Widening and Bituminous Black-Topping of","Roads, Pathways & Bridges","Chennai, Tamil Nadu",13.039023,80.287258,2025-03-28,Chennai Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000108,MPLAD-WRK-000230,Sports & Youth Development Asset - Construction of Youth Skill Development ,Sports & Youth Development,"Dibrugarh, Assam",27.451004,94.940935,2025-06-09,Dibrugarh Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000109,MPLAD-WRK-000233,Drinking Water Asset - Installation of Community Water Purifica,Drinking Water,"Chennai, Tamil Nadu",13.136151,80.338283,2023-02-24,Chennai Local Panchayat / Municipal Body (Demo),Operational,True
