work_id,state,district,constituency,mp_reference,mp_house,work_title,category,agency_id,agency_name,status,estimate_amount,sanctioned_amount,cumulative_payments,expenditure,physical_progress_pct,recommendation_date,sanction_date,work_order_date,commencement_date,target_completion_date,actual_completion_date,latitude,longitude,is_anomaly,anomaly_type,anomaly_description,duplicate_of_work_id,synthetic_demo_data
MPLAD-WRK-000011,Karnataka,Dharwad,Dharwad Parliamentary Constituency,MP-LOK-DEMO-013,Lok Sabha (Demo),Rehabilitation of Traditional Irrigation Tank and Sluice Gate System at Kundgol Sector-9,Irrigation & Flood Control,AGY-SYNTH-0223,Dharwad Municipal Engineering Cell (Demo) Unit-3,In Progress,3876421.33,3775791.93,3555324.51,3303873.13,91.3,2022-09-20,2022-11-06,2022-11-27,2022-12-08,2023-08-06,,15.521591,74.990912,False,,,,True
MPLAD-WRK-000012,Telangana,Hyderabad,Hyderabad Parliamentary Constituency,MP-LOK-DEMO-043,Lok Sabha (Demo),Setting up of 25 kW Decentralized Solar Mini-Grid for Village Electrification at Malakpet Sector-12,Renewable & Solar Energy,AGY-SYNTH-0248,Hyderabad Public Works Dept (Demo) Unit-3,In Progress,1433928.71,1400041.46,692648.92,616563.23,54.2,2024-02-02,2024-02-25,2024-04-08,2024-04-20,2024-09-09,,17.45215,78.484641,False,,,,True
MPLAD-WRK-000013,Gujarat,Surat,Surat Parliamentary Constituency,MP-LOK-DEMO-027,Lok Sabha (Demo),Construction of Rainwater Harvesting Sump and Recharging Wells at Mahuva Sector-4,Irrigation & Flood Control,AGY-SYNTH-0091,Surat Municipal Engineering Cell (Demo) Unit-1,In Progress,1821424.52,1760188.6,1065071.83,1011847.01,58.9,2023-08-03,2023-09-06,2023-10-16,2023-11-01,2024-07-15,,21.24014,72.878634,False,,,,True
MPLAD-WRK-000014,Rajasthan,Kota,Kota Parliamentary Constituency,MP-RAJ-DEMO-024,Rajya Sabha (Demo),Paving of Paver-Block Pedestrian Pathway and Street Lighting along Kota North Sector-6,"Roads, Pathways & Bridges",AGY-SYNTH-0076,Kota Zilla Parishad Engineering Division (Demo) Unit-1,Sanctioned,1137464.54,1154706.02,0.0,0.0,0.0,2024-02-16,2024-03-11,2024-03-29,2024-04-09,2025-01-10,,25.209668,75.914467,False,,,,True
MPLAD-WRK-000015,West Bengal,North 24 Parganas,Barasat Parliamentary Constituency,MP-LOK-DEMO-031,Lok Sabha (Demo),Development of Playground with Fencing and Floodlights at Barasat Sector-15,Sports & Youth Development,AGY-SYNTH-0222,North 24 Parganas Water Supply & Sanitation Board (Demo) Unit-2,Completed,1478919.55,1502309.87,1502309.87,1476161.82,100.0,2024-08-14,2024-09-05,2024-10-03,2024-10-20,2025-04-26,2025-05-06,22.661229,88.528172,False,,,,True
MPLAD-WRK-000016,Uttar Pradesh,Lucknow,Lucknow Parliamentary Constituency,MP-LOK-DEMO-016,Lok Sabha (Demo),Construction of Multi-Purpose Auditorium Hall at Govt Degree College in Malihabad Sector-3,Education Infrastructure,AGY-SYNTH-0117,Lucknow Zilla Parishad Engineering Division (Demo) Unit-2,Completed,1926361.49,1875694.92,1875694.92,1822974.79,100.0,2023-03-25,2023-05-22,2023-06-30,2023-07-25,2024-04-10,2024-04-07,26.815716,80.877771,False,,,,True
MPLAD-WRK-000017,Andhra Pradesh,Krishna,Machilipatnam Parliamentary Constituency,MP-LOK-DEMO-052,Lok Sabha (Demo),Installation of Rooftop Solar Energy System for Govt Educational Complex at Kaikalur Sector-2,Education Infrastructure,AGY-SYNTH-0054,Krishna Rural Development Agency (Demo) Unit-4,Completed,1025724.65,980187.42,980187.42,961119.26,100.0,2023-11-27,2023-12-31,2024-02-07,2024-03-07,2024-12-03,2025-01-08,16.198128,81.120541,False,,,,True
MPLAD-WRK-000018,Telangana,Warangal,Warangal Parliamentary Constituency,MP-LOK-DEMO-044,Lok Sabha (Demo),Laying of Synthetic Volleyball and Badminton Courts at Youth Centre in Hanamkonda Sector-8,Sports & Youth Development,AGY-SYNTH-0156,Warangal Rural Development Agency (Demo) Unit-1,Completed,1252101.53,1235902.08,1235902.08,1217328.1,100.0,2024-06-24,2024-07-29,2024-08-25,2024-09-11,2025-02-22,2025-02-25,17.933167,79.558143,False,,,,True
MPLAD-WRK-000019,Andhra Pradesh,Visakhapatnam,Visakhapatnam Parliamentary Constituency,MP-LOK-DEMO-051,Lok Sabha (Demo),Provision of Advanced Mobile Medical Diagnostic Van and Equipment for Bheemunipatnam Sector-1,Health & Sanitation,AGY-SYNTH-0224,Visakhapatnam Irrigation & Flood Management Dept (Demo) Unit-4,In Progress,691112.75,683244.63,423867.67,405655.82,55.5,2022-09-24,2022-10-13,2022-11-11,2022-12-03,2023-08-01,,17.757657,83.239851,False,,,,True
MPLAD-WRK-000020,Tamil Nadu,Salem,Salem Parliamentary Constituency,MP-LOK-DEMO-010,Lok Sabha (Demo),Construction of Village Panchayat Sabha Bhawan and Citizen Service Centre at Salem South Sector-6,Community Infrastructure & Halls,AGY-SYNTH-0220,Salem State Sports Infrastructure Authority (Demo) Unit-5,Recommended,3628580.29,0.0,0.0,0.0,0.0,2023-11-03,,,,,,11.630468,78.164753,False,,,,True
MPLAD-WRK-000021,Tamil Nadu,Chennai,Chennai Central Parliamentary Constituency,MP-RAJ-DEMO-006,Rajya Sabha (Demo),Establishment of Solid Waste Management & Segregation Facility at Velachery Sector-3,Health & Sanitation,AGY-SYNTH-0207,Chennai State Sports Infrastructure Authority (Demo) Unit-2,In Progress,1072258.42,1081884.19,363103.33,335644.67,35.4,2022-06-24,2022-07-10,2022-07-25,2022-08-05,2023-03-25,,13.14105,80.277537,False,,,,True
MPLAD-WRK-000022,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Parliamentary Constituency,MP-LOK-DEMO-009,Lok Sabha (Demo),Rehabilitation of Traditional Irrigation Tank and Sluice Gate System at Lalgudi Sector-2,Irrigation & Flood Control,AGY-SYNTH-0075,Tiruchirappalli State Renewable Energy Development Corp (Demo) Unit-5,Completed,984855.18,944059.06,944059.06,940211.94,100.0,2024-10-07,2024-11-06,2024-11-25,2024-12-08,2025-07-12,2025-08-10,10.859903,78.765047,False,,,,True
MPLAD-WRK-000023,Maharashtra,Nashik,Nashik Parliamentary Constituency,MP-LOK-DEMO-003,Lok Sabha (Demo),Installation of High-Mast Solar Street Lighting System across Public Squares in Niphad Sector-9,Renewable & Solar Energy,AGY-SYNTH-0105,Nashik Irrigation & Flood Management Dept (Demo) Unit-5,Completed,1289244.93,1293767.97,1293767.97,1276606.08,100.0,2023-10-25,2023-12-18,2024-01-04,2024-01-18,2024-03-30,2024-04-22,19.952359,73.791168,False,,,,True
MPLAD-WRK-000024,Rajasthan,Jodhpur,Jodhpur Parliamentary Constituency,MP-LOK-DEMO-022,Lok Sabha (Demo),Provision of Composite Science Laboratory and Library Facility at Shergarh Sector-5,Education Infrastructure,AGY-SYNTH-0237,Jodhpur Irrigation & Flood Management Dept (Demo) Unit-2,In Progress,1902352.66,1810783.49,1108520.77,1053869.36,55.4,2024-11-27,2024-12-28,2025-01-21,2025-02-01,2025-10-13,,26.287149,72.985629,False,,,,True
MPLAD-WRK-000025,Karnataka,Mysuru,Mysore Parliamentary Constituency,MP-RAJ-DEMO-012,Rajya Sabha (Demo),Development of Playground with Fencing and Floodlights at Hunsur Sector-9,Sports & Youth Development,AGY-SYNTH-0192,Mysuru Rural Development Agency (Demo) Unit-2,Completed,1116255.26,1079704.98,1079704.98,1057583.14,100.0,2023-12-03,2024-01-01,2024-01-30,2024-02-18,2024-10-15,2024-11-26,12.263968,76.650422,False,,,,True
MPLAD-WRK-000026,Kerala,Thiruvananthapuram,Thiruvananthapuram Parliamentary Constituency,MP-LOK-DEMO-034,Lok Sabha (Demo),Reconstruction of Damaged All-Weather Village Connectivity Road at Neyyattinkara Sector-1,"Roads, Pathways & Bridges",AGY-SYNTH-0205,Thiruvananthapuram State Sports Infrastructure Authority (Demo) Unit-5,Recommended,2072459.48,0.0,0.0,0.0,0.0,2022-10-23,,,,,,8.472791,76.959534,False,,,,True
MPLAD-WRK-000027,West Bengal,North 24 Parganas,Barasat Parliamentary Constituency,MP-LOK-DEMO-031,Lok Sabha (Demo),Construction of Indoor Gymnasium and Physical Training Centre at Barrackpore Sector-13,Sports & Youth Development,AGY-SYNTH-0222,North 24 Parganas Water Supply & Sanitation Board (Demo) Unit-2,Work Order Issued,769860.17,736188.22,0.0,0.0,0.0,2023-07-20,2023-09-07,2023-09-19,2023-10-04,2024-04-24,,22.782545,88.541976,False,,,,True
MPLAD-WRK-000028,Maharashtra,Nashik,Nashik Parliamentary Constituency,MP-LOK-DEMO-003,Lok Sabha (Demo),Provision of Deep Borewell with Solar Submersible Pump in Niphad Sector-10,Drinking Water,AGY-SYNTH-0105,Nashik Irrigation & Flood Management Dept (Demo) Unit-5,Completed,229201.12,225030.68,225030.68,220512.18,100.0,2025-01-06,2025-01-29,2025-03-12,2025-04-05,2025-08-07,2025-08-01,20.03029,73.716913,False,,,,True
MPLAD-WRK-000029,Uttar Pradesh,Prayagraj,Allahabad Parliamentary Constituency,MP-LOK-DEMO-020,Lok Sabha (Demo),Upgradation of Pediatric & Maternal Care Ward at Community Health Centre in Bara Sector-9,Health & Sanitation,AGY-SYNTH-0153,Prayagraj Rural Development Agency (Demo) Unit-3,In Progress,948408.55,963435.6,576448.27,517979.83,50.0,2024-04-22,2024-06-15,2024-07-09,2024-07-26,2025-01-09,,25.475079,81.873351,False,,,,True
MPLAD-WRK-000030,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Parliamentary Constituency,MP-LOK-DEMO-009,Lok Sabha (Demo),Deployment of Solar Powered LED Street Lights along Main Road connecting Lalgudi Sector-1 to Lalgudi Village-15,Renewable & Solar Energy,AGY-SYNTH-0141,Tiruchirappalli Public Works Dept (Demo) Unit-1,Completed,440165.52,443019.59,443019.59,430330.93,100.0,2022-05-15,2022-06-24,2022-07-20,2022-07-30,2023-01-01,2022-12-21,10.796675,78.638738,False,,,,True
MPLAD-WRK-000031,Karnataka,Mysuru,Mysore Parliamentary Constituency,MP-RAJ-DEMO-012,Rajya Sabha (Demo),Installation of Solar Water Pumping System for Community Agriculture at Nanjangud Sector-12,Renewable & Solar Energy,AGY-SYNTH-0067,Mysuru Rural Development Agency (Demo) Unit-2,In Progress,1315335.83,1315778.54,325355.28,313569.96,26.9,2024-08-16,2024-10-04,2024-11-07,2024-11-24,2025-02-23,,12.342222,76.627286,False,,,,True
MPLAD-WRK-000032,Gujarat,Ahmedabad,Ahmedabad East Parliamentary Constituency,MP-LOK-DEMO-026,Lok Sabha (Demo),Construction of Multi-Sport Outdoor Gymnasium and Fitness Arena at Viramgam Sector-4,Sports & Youth Development,AGY-SYNTH-0121,Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1,In Progress,1308472.19,1334044.76,1021258.76,984405.19,78.0,2023-07-24,2023-09-13,2023-10-13,2023-11-10,2024-06-23,,22.992575,72.505544,False,,,,True
MPLAD-WRK-000033,Karnataka,Dakshina Kannada,Dakshina Kannada Parliamentary Constituency,MP-LOK-DEMO-015,Lok Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Bantwal Sector-13,Community Infrastructure & Halls,AGY-SYNTH-0203,Dakshina Kannada Public Works Dept (Demo) Unit-3,In Progress,1342597.51,1325277.23,1241877.54,1070523.67,86.0,2024-06-04,2024-07-04,2024-07-30,2024-08-15,2025-04-24,,12.879369,74.882051,False,,,,True
MPLAD-WRK-000034,Punjab,Ludhiana,Ludhiana Parliamentary Constituency,MP-RAJ-DEMO-048,Rajya Sabha (Demo),Construction of Multi-Sport Outdoor Gymnasium and Fitness Arena at Sahnewal Sector-10,Sports & Youth Development,AGY-SYNTH-0115,Ludhiana Municipal Engineering Cell (Demo) Unit-5,In Progress,1786194.79,1811306.64,708124.34,683173.97,38.7,2024-01-19,2024-02-21,2024-03-26,2024-04-19,2024-11-23,,30.946422,75.890662,False,,,,True
MPLAD-WRK-000035,Madhya Pradesh,Bhopal,Bhopal Parliamentary Constituency,MP-LOK-DEMO-037,Lok Sabha (Demo),Paving of Paver-Block Pedestrian Pathway and Street Lighting along Govindpura Sector-11,"Roads, Pathways & Bridges",AGY-SYNTH-0154,Bhopal Irrigation & Flood Management Dept (Demo) Unit-4,In Progress,4696418.48,4622880.51,1735450.98,1698558.87,29.2,2023-03-11,2023-04-17,2023-05-07,2023-05-21,2024-04-17,,23.31076,77.34875,False,,,,True
MPLAD-WRK-000036,Bihar,Patna,Patna Sahib Parliamentary Constituency,MP-LOK-DEMO-040,Lok Sabha (Demo),Construction of Indoor Gymnasium and Physical Training Centre at Masaurhi Sector-1,Sports & Youth Development,AGY-SYNTH-0190,Patna Rural Development Agency (Demo) Unit-5,Work Order Issued,1223599.97,1163435.03,174515.25,87257.62,0.0,2023-10-15,2023-12-03,2023-12-31,2024-01-10,2024-08-11,,25.640025,85.199066,False,,,,True
MPLAD-WRK-000037,Karnataka,Dharwad,Dharwad Parliamentary Constituency,MP-LOK-DEMO-013,Lok Sabha (Demo),Development of Senior Citizens Recreation Park and Open-Air Pavilion at Kalghatgi Sector-13,Community Infrastructure & Halls,AGY-SYNTH-0149,Dharwad Public Works Dept (Demo) Unit-4,In Progress,3240498.97,3133642.07,626728.41,563448.92,17.4,2023-07-07,2023-08-10,2023-08-25,2023-09-24,2024-08-08,,15.479412,75.038227,False,,,,True
MPLAD-WRK-000038,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,MP-LOK-DEMO-021,Lok Sabha (Demo),Construction of Over-Head Water Storage Tank and Distribution Pipeline in Jamwa Ramgarh Sector-3,Drinking Water,AGY-SYNTH-0021,Jaipur Irrigation & Flood Management Dept (Demo) Unit-1,Completed,440729.12,427925.67,427925.67,425236.13,100.0,2023-08-06,2023-09-26,2023-10-30,2023-11-26,2024-04-06,2024-04-03,26.845454,75.777863,False,,,,True
MPLAD-WRK-000039,Tamil Nadu,Salem,Salem Parliamentary Constituency,MP-LOK-DEMO-010,Lok Sabha (Demo),Setting up of Rooftop Solar Power Plant with Battery Backup for PHC at Sankari Sector-3,Renewable & Solar Energy,AGY-SYNTH-0220,Salem State Sports Infrastructure Authority (Demo) Unit-5,Completed,705049.8,716335.68,716335.68,704491.29,100.0,2024-09-27,2024-11-04,2024-12-01,2024-12-14,2025-02-28,2025-04-04,11.593239,78.124087,False,,,,True
MPLAD-WRK-000040,Bihar,Gaya,Gaya Parliamentary Constituency,MP-LOK-DEMO-041,Lok Sabha (Demo),Development of Playground with Fencing and Floodlights at Wazirganj Sector-4,Sports & Youth Development,AGY-SYNTH-0034,Gaya Zilla Parishad Engineering Division (Demo) Unit-4,Completed,1628784.74,1582081.06,1582081.06,1541079.43,100.0,2024-06-19,2024-07-25,2024-08-28,2024-09-17,2025-04-11,2025-06-06,24.788251,84.951846,False,,,,True
MPLAD-WRK-000041,Andhra Pradesh,Visakhapatnam,Visakhapatnam Parliamentary Constituency,MP-LOK-DEMO-051,Lok Sabha (Demo),Setting up of Rooftop Solar Power Plant with Battery Backup for PHC at Bheemunipatnam Sector-3,Renewable & Solar Energy,AGY-SYNTH-0113,Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3,In Progress,543152.57,545996.18,514025.41,464873.83,86.1,2022-08-30,2022-10-12,2022-11-21,2022-12-19,2023-04-09,,17.717045,83.265345,False,,,,True
MPLAD-WRK-000042,Maharashtra,Pune,Pune Parliamentary Constituency,MP-LOK-DEMO-001,Lok Sabha (Demo),"Construction of Boundary Wall, Gates and Modern Toilets in Govt Primary School at Khed Sector-9",Education Infrastructure,AGY-SYNTH-0030,Pune Rural Development Agency (Demo) Unit-5,Stalled,824056.65,808568.09,346137.04,276909.63,26.9,2024-06-10,2024-07-24,2024-09-04,2024-09-18,2025-04-30,,18.570098,73.891223,False,,,,True
MPLAD-WRK-000043,Uttar Pradesh,Prayagraj,Allahabad Parliamentary Constituency,MP-LOK-DEMO-020,Lok Sabha (Demo),Rejuvenation of Traditional Drinking Water Stepwell and Filter Beds at Allahabad North Sector-1,Drinking Water,AGY-SYNTH-0038,Prayagraj Water Supply & Sanitation Board (Demo) Unit-3,Completed,443822.42,452198.7,452198.7,451635.21,100.0,2023-08-13,2023-09-30,2023-10-21,2023-11-17,2024-03-06,2024-04-09,25.455264,81.799258,False,,,,True
MPLAD-WRK-000044,Telangana,Warangal,Warangal Parliamentary Constituency,MP-LOK-DEMO-044,Lok Sabha (Demo),Construction of Farmers Agro-Produce Storage and Community Shed at Narsampet Sector-2,Community Infrastructure & Halls,AGY-SYNTH-0100,Warangal State Renewable Energy Development Corp (Demo) Unit-5,Completed,1570277.36,1517987.27,1517987.27,1478726.08,100.0,2022-11-26,2022-12-22,2023-01-24,2023-02-07,2023-11-09,2024-01-04,17.921763,79.614425,False,,,,True
MPLAD-WRK-000045,Odisha,Cuttack,Cuttack Parliamentary Constituency,MP-LOK-DEMO-050,Lok Sabha (Demo),Development of Playground with Fencing and Floodlights at Athagarh Sector-9,Sports & Youth Development,AGY-SYNTH-0162,Cuttack State Sports Infrastructure Authority (Demo) Unit-2,Completed,2514693.46,2533880.06,2533880.06,2465648.99,100.0,2024-04-21,2024-06-09,2024-06-21,2024-07-15,2025-02-19,2025-03-25,20.518721,85.812635,False,,,,True
MPLAD-WRK-000046,Uttar Pradesh,Agra,Agra Parliamentary Constituency,MP-LOK-DEMO-019,Lok Sabha (Demo),Construction of Farmers Agro-Produce Storage and Community Shed at Kheragarh Sector-14,Community Infrastructure & Halls,AGY-SYNTH-0256,Agra Water Supply & Sanitation Board (Demo) Unit-1,Completed,3334512.27,3351179.41,3351179.41,3333935.76,100.0,2022-07-31,2022-09-01,2022-09-19,2022-10-03,2023-06-01,2023-06-22,27.123026,78.02796,False,,,,True
MPLAD-WRK-000047,Rajasthan,Jodhpur,Jodhpur Parliamentary Constituency,MP-LOK-DEMO-022,Lok Sabha (Demo),Installation of RO Clean Drinking Water Plant at Jodhpur City Sector-11,Drinking Water,AGY-SYNTH-0048,Jodhpur Rural Development Agency (Demo) Unit-3,Completed,634595.68,623145.21,623145.21,606195.78,100.0,2024-08-24,2024-09-20,2024-10-08,2024-11-07,2025-03-15,2025-03-30,26.176263,73.048976,False,,,,True
MPLAD-WRK-000048,Punjab,Amritsar,Amritsar Parliamentary Constituency,MP-LOK-DEMO-047,Lok Sabha (Demo),Construction of Additional Smart Classrooms for Govt Higher Secondary School at Amritsar South Sector-6,Education Infrastructure,AGY-SYNTH-0235,Amritsar Municipal Engineering Cell (Demo) Unit-5,In Progress,1339441.5,1344989.78,799754.44,716303.59,62.0,2022-12-29,2023-02-23,2023-03-14,2023-03-26,2023-11-28,,31.696984,74.889711,False,,,,True
MPLAD-WRK-000049,Madhya Pradesh,Gwalior,Gwalior Parliamentary Constituency,MP-LOK-DEMO-039,Lok Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Gwalior City Sector-14,Community Infrastructure & Halls,AGY-SYNTH-0217,Gwalior Water Supply & Sanitation Board (Demo) Unit-2,Completed,1592664.8,1556706.52,1556706.52,1513321.67,100.0,2022-07-21,2022-08-20,2022-09-30,2022-10-22,2023-06-03,2023-07-29,26.283389,78.127597,False,,,,True
MPLAD-WRK-000050,Bihar,Patna,Patna Sahib Parliamentary Constituency,MP-LOK-DEMO-040,Lok Sabha (Demo),Construction of Public Sanitation Complex and Bio-Toilet Block at Patna Sadar Sector-5,Health & Sanitation,AGY-SYNTH-0126,Patna Irrigation & Flood Management Dept (Demo) Unit-1,In Progress,1001211.89,1019435.89,861584.76,739752.33,79.3,2023-02-13,2023-04-03,2023-05-03,2023-05-25,2024-01-05,,25.527786,85.075532,False,,,,True
MPLAD-WRK-000051,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,MP-LOK-DEMO-002,Lok Sabha (Demo),Installation of Community Lift Irrigation Scheme with Pipeline for Farmlands in Katol Sector-9,Irrigation & Flood Control,AGY-SYNTH-0118,Nagpur Public Works Dept (Demo) Unit-3,Completed,1051105.61,1002629.39,1002629.39,992827.3,100.0,2023-03-08,2023-04-15,2023-05-05,2023-05-23,2024-03-26,2024-05-18,21.181917,79.013585,False,,,,True
MPLAD-WRK-000052,Gujarat,Ahmedabad,Ahmedabad East Parliamentary Constituency,MP-LOK-DEMO-026,Lok Sabha (Demo),Provision of Composite Science Laboratory and Library Facility at Sanand Sector-13,Education Infrastructure,AGY-SYNTH-0060,Ahmedabad Public Works Dept (Demo) Unit-5,In Progress,1519663.42,1502516.14,1059856.25,951619.04,71.9,2022-04-17,2022-05-25,2022-06-16,2022-07-05,2023-03-14,,23.05737,72.578384,False,,,,True
MPLAD-WRK-000053,Tamil Nadu,Chennai,Chennai Central Parliamentary Constituency,MP-RAJ-DEMO-006,Rajya Sabha (Demo),Construction of Over-Head Water Storage Tank and Distribution Pipeline in Velachery Sector-7,Drinking Water,AGY-SYNTH-0164,Chennai Zilla Parishad Engineering Division (Demo) Unit-4,In Progress,602900.28,576788.9,334325.73,294467.53,48.5,2022-12-30,2023-02-23,2023-03-30,2023-04-11,2023-09-23,,13.146606,80.254643,False,,,,True
MPLAD-WRK-000054,Karnataka,Bengaluru Urban,Bengaluru South Parliamentary Constituency,MP-LOK-DEMO-011,Lok Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Yelahanka Sector-1,Community Infrastructure & Halls,AGY-SYNTH-0066,Bengaluru Urban Public Works Dept (Demo) Unit-1,In Progress,1940546.54,1855909.41,832563.73,711043.29,35.0,2023-08-22,2023-09-28,2023-11-02,2023-11-28,2024-07-01,,12.979993,77.602118,False,,,,True
MPLAD-WRK-000055,Maharashtra,Nashik,Nashik Parliamentary Constituency,MP-LOK-DEMO-003,Lok Sabha (Demo),Development of Rural Sports Stadium with Running Track and Spectator Gallery at Dindori Sector-15,Sports & Youth Development,AGY-SYNTH-0157,Nashik State Renewable Energy Development Corp (Demo) Unit-2,Completed,899939.43,881820.48,881820.48,856282.5,100.0,2024-03-25,2024-04-22,2024-05-13,2024-05-31,2024-12-02,2024-12-01,19.997334,73.847217,False,,,,True
