work_id,state,district,constituency,mp_reference,mp_house,work_title,category,agency_id,agency_name,status,estimate_amount,sanctioned_amount,cumulative_payments,expenditure,physical_progress_pct,recommendation_date,sanction_date,work_order_date,commencement_date,target_completion_date,actual_completion_date,latitude,longitude,latest_inspection_date,latest_inspection_rating,latest_inspector_designation,inspection_count,payment_count,progress_update_count,is_anomaly,anomaly_type,anomaly_description,duplicate_of_work_id,synthetic_demo_data
MPLAD-WRK-000011,Karnataka,Mysuru,Mysore Parliamentary Constituency,MP-RAJ-DEMO-012,Rajya Sabha (Demo),Installation of Solar Water Pumping System for Community Agriculture at Nanjangud Sector-12,Renewable & Solar Energy,AGY-SYNTH-0067,Mysuru Rural Development Agency (Demo) Unit-2,In Progress,1315335.83,1315778.54,325355.28,313569.96,26.9,2024-08-16,2024-10-04,2024-11-07,2024-11-24,2025-02-23,,12.342222,76.627286,2024-12-21,Excellent,District Planning Officer (Demo),1,2,3,False,,,,True
MPLAD-WRK-000012,Gujarat,Ahmedabad,Ahmedabad East Parliamentary Constituency,MP-LOK-DEMO-026,Lok Sabha (Demo),Construction of Multi-Sport Outdoor Gymnasium and Fitness Arena at Viramgam Sector-4,Sports & Youth Development,AGY-SYNTH-0121,Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1,In Progress,1308472.19,1334044.76,1021258.76,984405.19,78.0,2023-07-24,2023-09-13,2023-10-13,2023-11-10,2024-06-23,,22.992575,72.505544,2023-12-15,Satisfactory,Junior Engineer - Zilla Parishad (Demo),1,3,6,False,,,,True
MPLAD-WRK-000013,Karnataka,Dakshina Kannada,Dakshina Kannada Parliamentary Constituency,MP-LOK-DEMO-015,Lok Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Bantwal Sector-13,Community Infrastructure & Halls,AGY-SYNTH-0203,Dakshina Kannada Public Works Dept (Demo) Unit-3,In Progress,1342597.51,1325277.23,1241877.54,1070523.67,86.0,2024-06-04,2024-07-04,2024-07-30,2024-08-15,2025-04-24,,12.879369,74.882051,2024-10-04,Excellent,District Planning Officer (Demo),1,3,3,False,,,,True
MPLAD-WRK-000014,Punjab,Ludhiana,Ludhiana Parliamentary Constituency,MP-RAJ-DEMO-048,Rajya Sabha (Demo),Construction of Multi-Sport Outdoor Gymnasium and Fitness Arena at Sahnewal Sector-10,Sports & Youth Development,AGY-SYNTH-0115,Ludhiana Municipal Engineering Cell (Demo) Unit-5,In Progress,1786194.79,1811306.64,708124.34,683173.97,38.7,2024-01-19,2024-02-21,2024-03-26,2024-04-19,2024-11-23,,30.946422,75.890662,2024-05-19,Satisfactory,Technical Auditor - State Quality Monitor (Demo),1,5,3,False,,,,True
MPLAD-WRK-000015,Madhya Pradesh,Bhopal,Bhopal Parliamentary Constituency,MP-LOK-DEMO-037,Lok Sabha (Demo),Paving of Paver-Block Pedestrian Pathway and Street Lighting along Govindpura Sector-11,"Roads, Pathways & Bridges",AGY-SYNTH-0154,Bhopal Irrigation & Flood Management Dept (Demo) Unit-4,In Progress,4696418.48,4622880.51,1735450.98,1698558.87,29.2,2023-03-11,2023-04-17,2023-05-07,2023-05-21,2024-04-17,,23.31076,77.34875,2023-06-24,Good,District Planning Officer (Demo),1,2,3,False,,,,True
MPLAD-WRK-000016,Bihar,Patna,Patna Sahib Parliamentary Constituency,MP-LOK-DEMO-040,Lok Sabha (Demo),Construction of Indoor Gymnasium and Physical Training Centre at Masaurhi Sector-1,Sports & Youth Development,AGY-SYNTH-0190,Patna Rural Development Agency (Demo) Unit-5,Work Order Issued,1223599.97,1163435.03,174515.25,87257.62,0.0,2023-10-15,2023-12-03,2023-12-31,2024-01-10,2024-08-11,,25.640025,85.199066,,,,0,1,1,False,,,,True
MPLAD-WRK-000017,Karnataka,Dharwad,Dharwad Parliamentary Constituency,MP-LOK-DEMO-013,Lok Sabha (Demo),Development of Senior Citizens Recreation Park and Open-Air Pavilion at Kalghatgi Sector-13,Community Infrastructure & Halls,AGY-SYNTH-0149,Dharwad Public Works Dept (Demo) Unit-4,In Progress,3240498.97,3133642.07,626728.41,563448.92,17.4,2023-07-07,2023-08-10,2023-08-25,2023-09-24,2024-08-08,,15.479412,75.038227,2023-11-04,Satisfactory,Executive Engineer - PWD (Demo),1,5,3,False,,,,True
MPLAD-WRK-000018,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,MP-LOK-DEMO-021,Lok Sabha (Demo),Construction of Over-Head Water Storage Tank and Distribution Pipeline in Jamwa Ramgarh Sector-3,Drinking Water,AGY-SYNTH-0021,Jaipur Irrigation & Flood Management Dept (Demo) Unit-1,Completed,440729.12,427925.67,427925.67,425236.13,100.0,2023-08-06,2023-09-26,2023-10-30,2023-11-26,2024-04-06,2024-04-03,26.845454,75.777863,2024-02-16,Satisfactory,Assistant Executive Engineer - Rural Works (Demo),2,3,6,False,,,,True
MPLAD-WRK-000019,Tamil Nadu,Salem,Salem Parliamentary Constituency,MP-LOK-DEMO-010,Lok Sabha (Demo),Setting up of Rooftop Solar Power Plant with Battery Backup for PHC at Sankari Sector-3,Renewable & Solar Energy,AGY-SYNTH-0220,Salem State Sports Infrastructure Authority (Demo) Unit-5,Completed,705049.8,716335.68,716335.68,704491.29,100.0,2024-09-27,2024-11-04,2024-12-01,2024-12-14,2025-02-28,2025-04-04,11.593239,78.124087,2025-03-12,Satisfactory,Independent Quality Assessor (Demo),2,6,4,False,,,,True
MPLAD-WRK-000020,Bihar,Gaya,Gaya Parliamentary Constituency,MP-LOK-DEMO-041,Lok Sabha (Demo),Development of Playground with Fencing and Floodlights at Wazirganj Sector-4,Sports & Youth Development,AGY-SYNTH-0034,Gaya Zilla Parishad Engineering Division (Demo) Unit-4,Completed,1628784.74,1582081.06,1582081.06,1541079.43,100.0,2024-06-19,2024-07-25,2024-08-28,2024-09-17,2025-04-11,2025-06-06,24.788251,84.951846,2024-12-28,Satisfactory,Junior Engineer - Zilla Parishad (Demo),2,5,5,False,,,,True
MPLAD-WRK-000021,Andhra Pradesh,Visakhapatnam,Visakhapatnam Parliamentary Constituency,MP-LOK-DEMO-051,Lok Sabha (Demo),Setting up of Rooftop Solar Power Plant with Battery Backup for PHC at Bheemunipatnam Sector-3,Renewable & Solar Energy,AGY-SYNTH-0113,Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3,In Progress,543152.57,545996.18,514025.41,464873.83,86.1,2022-08-30,2022-10-12,2022-11-21,2022-12-19,2023-04-09,,17.717045,83.265345,2023-02-07,Good,District Planning Officer (Demo),1,2,5,False,,,,True
MPLAD-WRK-000022,Maharashtra,Pune,Pune Parliamentary Constituency,MP-LOK-DEMO-001,Lok Sabha (Demo),"Construction of Boundary Wall, Gates and Modern Toilets in Govt Primary School at Khed Sector-9",Education Infrastructure,AGY-SYNTH-0030,Pune Rural Development Agency (Demo) Unit-5,Stalled,824056.65,808568.09,346137.04,276909.63,26.9,2024-06-10,2024-07-24,2024-09-04,2024-09-18,2025-04-30,,18.570098,73.891223,2024-10-18,Requires Rectification,District Planning Officer (Demo),1,2,2,False,,,,True
MPLAD-WRK-000023,Uttar Pradesh,Prayagraj,Allahabad Parliamentary Constituency,MP-LOK-DEMO-020,Lok Sabha (Demo),Rejuvenation of Traditional Drinking Water Stepwell and Filter Beds at Allahabad North Sector-1,Drinking Water,AGY-SYNTH-0038,Prayagraj Water Supply & Sanitation Board (Demo) Unit-3,Completed,443822.42,452198.7,452198.7,451635.21,100.0,2023-08-13,2023-09-30,2023-10-21,2023-11-17,2024-03-06,2024-04-09,25.455264,81.799258,2024-04-19,Excellent,Executive Engineer - PWD (Demo),3,4,7,False,,,,True
MPLAD-WRK-000024,Telangana,Warangal,Warangal Parliamentary Constituency,MP-LOK-DEMO-044,Lok Sabha (Demo),Construction of Farmers Agro-Produce Storage and Community Shed at Narsampet Sector-2,Community Infrastructure & Halls,AGY-SYNTH-0100,Warangal State Renewable Energy Development Corp (Demo) Unit-5,Completed,1570277.36,1517987.27,1517987.27,1478726.08,100.0,2022-11-26,2022-12-22,2023-01-24,2023-02-07,2023-11-09,2024-01-04,17.921763,79.614425,2023-05-15,Good,Executive Engineer - PWD (Demo),2,6,7,False,,,,True
MPLAD-WRK-000025,Odisha,Cuttack,Cuttack Parliamentary Constituency,MP-LOK-DEMO-050,Lok Sabha (Demo),Development of Playground with Fencing and Floodlights at Athagarh Sector-9,Sports & Youth Development,AGY-SYNTH-0162,Cuttack State Sports Infrastructure Authority (Demo) Unit-2,Completed,2514693.46,2533880.06,2533880.06,2465648.99,100.0,2024-04-21,2024-06-09,2024-06-21,2024-07-15,2025-02-19,2025-03-25,20.518721,85.812635,2024-10-13,Excellent,Assistant Executive Engineer - Rural Works (Demo),2,4,6,False,,,,True
MPLAD-WRK-000026,Uttar Pradesh,Agra,Agra Parliamentary Constituency,MP-LOK-DEMO-019,Lok Sabha (Demo),Construction of Farmers Agro-Produce Storage and Community Shed at Kheragarh Sector-14,Community Infrastructure & Halls,AGY-SYNTH-0256,Agra Water Supply & Sanitation Board (Demo) Unit-1,In Progress,3334512.27,3351179.41,2708140.41,2679804.95,17.0,2022-07-31,2022-09-01,2022-09-19,2022-10-03,2023-06-01,2023-06-22,27.123026,78.02796,2023-01-09,Good,Junior Engineer - Zilla Parishad (Demo),2,6,7,True,PAYMENT_PROGRESS_MISMATCH,"Severe financial-physical divergence: 80.8% of sanctioned funds (Rs. 2,708,140.41) disbursed while physical progress is only 17.0%.",,True
MPLAD-WRK-000027,Rajasthan,Jodhpur,Jodhpur Parliamentary Constituency,MP-LOK-DEMO-022,Lok Sabha (Demo),Installation of RO Clean Drinking Water Plant at Jodhpur City Sector-11,Drinking Water,AGY-SYNTH-0048,Jodhpur Rural Development Agency (Demo) Unit-3,Completed,634595.68,623145.21,623145.21,606195.78,100.0,2024-08-24,2024-09-20,2024-10-08,2024-11-07,2025-03-15,2025-03-30,26.176263,73.048976,2024-12-04,Good,District Planning Officer (Demo),1,5,6,False,,,,True
MPLAD-WRK-000028,Punjab,Amritsar,Amritsar Parliamentary Constituency,MP-LOK-DEMO-047,Lok Sabha (Demo),Construction of Additional Smart Classrooms for Govt Higher Secondary School at Amritsar South Sector-6,Education Infrastructure,AGY-SYNTH-0235,Amritsar Municipal Engineering Cell (Demo) Unit-5,In Progress,1339441.5,1344989.78,799754.44,716303.59,62.0,2022-12-29,2023-02-23,2023-03-14,2023-03-26,2023-11-28,,31.696984,74.889711,2023-05-04,Excellent,Independent Quality Assessor (Demo),1,3,4,False,,,,True
MPLAD-WRK-000029,Madhya Pradesh,Gwalior,Gwalior Parliamentary Constituency,MP-LOK-DEMO-039,Lok Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Gwalior City Sector-14,Community Infrastructure & Halls,AGY-SYNTH-0217,Gwalior Water Supply & Sanitation Board (Demo) Unit-2,Completed,1592664.8,1556706.52,1556706.52,1513321.67,100.0,2022-07-21,2022-08-20,2022-09-30,2022-10-22,2023-06-03,2023-07-29,26.283389,78.127597,2023-03-31,Excellent,Sub-Divisional Officer (Demo),3,3,6,False,,,,True
MPLAD-WRK-000030,Bihar,Patna,Patna Sahib Parliamentary Constituency,MP-LOK-DEMO-040,Lok Sabha (Demo),Construction of Public Sanitation Complex and Bio-Toilet Block at Patna Sadar Sector-5,Health & Sanitation,AGY-SYNTH-0126,Patna Irrigation & Flood Management Dept (Demo) Unit-1,In Progress,1001211.89,1019435.89,861584.76,739752.33,79.3,2023-02-13,2023-04-03,2023-05-03,2023-05-25,2024-01-05,,25.527786,85.075532,2023-07-07,Satisfactory,Junior Engineer - Zilla Parishad (Demo),1,5,4,False,,,,True
MPLAD-WRK-000031,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,MP-LOK-DEMO-002,Lok Sabha (Demo),Installation of Community Lift Irrigation Scheme with Pipeline for Farmlands in Katol Sector-9,Irrigation & Flood Control,AGY-SYNTH-0118,Nagpur Public Works Dept (Demo) Unit-3,Completed,1051105.61,1002629.39,1002629.39,992827.3,100.0,2023-03-08,2023-04-15,2023-05-05,2023-05-23,2024-03-26,2024-05-18,21.181917,79.013585,2023-10-17,Excellent,District Planning Officer (Demo),3,3,5,False,,,,True
MPLAD-WRK-000032,Gujarat,Ahmedabad,Ahmedabad East Parliamentary Constituency,MP-LOK-DEMO-026,Lok Sabha (Demo),Provision of Composite Science Laboratory and Library Facility at Sanand Sector-13,Education Infrastructure,AGY-SYNTH-0060,Ahmedabad Public Works Dept (Demo) Unit-5,In Progress,1519663.42,1502516.14,1059856.25,951619.04,71.9,2022-04-17,2022-05-25,2022-06-16,2022-07-05,2023-03-14,,23.05737,72.578384,2022-07-29,Excellent,Assistant Executive Engineer - Rural Works (Demo),1,5,4,False,,,,True
MPLAD-WRK-000033,Tamil Nadu,Chennai,Chennai Central Parliamentary Constituency,MP-RAJ-DEMO-006,Rajya Sabha (Demo),Construction of Over-Head Water Storage Tank and Distribution Pipeline in Velachery Sector-7,Drinking Water,AGY-SYNTH-0164,Chennai Zilla Parishad Engineering Division (Demo) Unit-4,In Progress,602900.28,576788.9,334325.73,294467.53,48.5,2022-12-30,2023-02-23,2023-03-30,2023-04-11,2023-09-23,,13.146606,80.254643,2023-05-09,Satisfactory,District Planning Officer (Demo),1,4,5,False,,,,True
MPLAD-WRK-000034,Karnataka,Bengaluru Urban,Bengaluru South Parliamentary Constituency,MP-LOK-DEMO-011,Lok Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Yelahanka Sector-1,Community Infrastructure & Halls,AGY-SYNTH-0066,Bengaluru Urban Public Works Dept (Demo) Unit-1,In Progress,1940546.54,1855909.41,832563.73,711043.29,35.0,2023-08-22,2023-09-28,2023-11-02,2023-11-28,2024-07-01,,12.979993,77.602118,2023-12-20,Good,District Planning Officer (Demo),1,5,6,False,,,,True
MPLAD-WRK-000035,Maharashtra,Nashik,Nashik Parliamentary Constituency,MP-LOK-DEMO-003,Lok Sabha (Demo),Development of Rural Sports Stadium with Running Track and Spectator Gallery at Dindori Sector-15,Sports & Youth Development,AGY-SYNTH-0157,Nashik State Renewable Energy Development Corp (Demo) Unit-2,Completed,899939.43,881820.48,881820.48,856282.5,100.0,2024-03-25,2024-04-22,2024-05-13,2024-05-31,2024-12-02,2024-12-01,19.997334,73.847217,2024-07-18,Good,District Planning Officer (Demo),1,4,6,False,,,,True
MPLAD-WRK-000036,Andhra Pradesh,Krishna,Machilipatnam Parliamentary Constituency,MP-LOK-DEMO-052,Lok Sabha (Demo),Development of Playground with Fencing and Floodlights at Pedana Sector-13,Sports & Youth Development,AGY-SYNTH-0054,Krishna Rural Development Agency (Demo) Unit-4,Stalled,1415141.59,1354303.81,604427.17,483541.74,17.7,2023-08-07,2023-09-08,2023-10-22,2023-11-02,2024-07-06,,16.246181,81.204031,2023-12-09,Requires Rectification,Assistant Executive Engineer - Rural Works (Demo),1,3,4,False,,,,True
MPLAD-WRK-000037,Karnataka,Mysuru,Mysore Parliamentary Constituency,MP-RAJ-DEMO-012,Rajya Sabha (Demo),Development of Rural Sports Stadium with Running Track and Spectator Gallery at Mysuru City Sector-1,Sports & Youth Development,AGY-SYNTH-0067,Mysuru Rural Development Agency (Demo) Unit-2,Work Order Issued,2329283.05,2266908.06,340036.21,170018.11,0.0,2023-05-18,2023-06-10,2023-07-11,2023-07-26,2024-04-18,,12.229733,76.586557,,,,0,1,1,False,,,,True
MPLAD-WRK-000038,Rajasthan,Kota,Kota Parliamentary Constituency,MP-RAJ-DEMO-024,Rajya Sabha (Demo),"Construction of Boundary Wall, Gates and Modern Toilets in Govt Primary School at Pipalda Sector-11",Education Infrastructure,AGY-SYNTH-0013,Kota Water Supply & Sanitation Board (Demo) Unit-3,In Progress,1599264.62,1556978.9,813665.51,766419.03,52.5,2024-01-21,2024-02-13,2024-03-04,2024-03-27,2025-01-02,,25.23863,75.911968,2024-04-20,Good,Independent Quality Assessor (Demo),1,4,4,False,,,,True
MPLAD-WRK-000039,Maharashtra,Thane,Thane Parliamentary Constituency,MP-LOK-DEMO-005,Lok Sabha (Demo),Construction of High-Level RCC Box Culvert and Causeway across Stream near Murbad Sector-3,"Roads, Pathways & Bridges",AGY-SYNTH-0240,Thane Water Supply & Sanitation Board (Demo) Unit-5,Completed,1368410.65,1342772.24,1342772.24,1331509.61,100.0,2023-09-26,2023-10-24,2023-11-18,2023-11-30,2024-09-09,2024-09-02,19.209033,72.966048,2024-03-06,Satisfactory,Assistant Executive Engineer - Rural Works (Demo),2,3,7,False,,,,True
MPLAD-WRK-000040,Madhya Pradesh,Gwalior,Gwalior Parliamentary Constituency,MP-LOK-DEMO-039,Lok Sabha (Demo),Construction of Indoor Gymnasium and Physical Training Centre at Gwalior City Sector-7,Sports & Youth Development,AGY-SYNTH-0152,Gwalior Rural Development Agency (Demo) Unit-2,In Progress,681342.92,654768.68,501222.87,443323.82,70.6,2022-10-25,2022-11-30,2022-12-23,2023-01-08,2023-07-29,,26.178932,78.115245,2023-02-12,Good,Independent Quality Assessor (Demo),1,4,5,False,,,,True
MPLAD-WRK-000041,Uttar Pradesh,Varanasi,Varanasi Parliamentary Constituency,MP-LOK-DEMO-017,Lok Sabha (Demo),Installation of Rooftop Solar Energy System for Govt Educational Complex at Sewapuri Sector-7,Education Infrastructure,AGY-SYNTH-0146,Varanasi Rural Development Agency (Demo) Unit-1,Completed,1074796.16,1040865.62,1040865.62,1012315.95,100.0,2024-11-08,2024-12-09,2025-01-02,2025-01-20,2025-09-29,2025-09-21,25.388206,82.987359,2025-02-10,Good,District Planning Officer (Demo),1,5,7,False,,,,True
MPLAD-WRK-000042,Telangana,Warangal,Warangal Parliamentary Constituency,MP-LOK-DEMO-044,Lok Sabha (Demo),Setting up of 25 kW Decentralized Solar Mini-Grid for Village Electrification at Warangal West Sector-14,Renewable & Solar Energy,AGY-SYNTH-0185,Warangal Public Works Dept (Demo) Unit-5,In Progress,1143971.72,1159708.55,971781.52,941880.82,81.0,2022-08-16,2022-09-05,2022-10-09,2022-11-05,2023-02-23,,17.910778,79.541546,2022-12-03,Good,Executive Engineer - PWD (Demo),1,2,6,False,,,,True
MPLAD-WRK-000043,Bihar,Patna,Patna Sahib Parliamentary Constituency,MP-LOK-DEMO-040,Lok Sabha (Demo),Installation of High-Mast Solar Street Lighting System across Public Squares in Masaurhi Sector-15,Renewable & Solar Energy,AGY-SYNTH-0126,Patna Irrigation & Flood Management Dept (Demo) Unit-1,Completed,1301550.31,1260943.12,1260943.12,1255580.38,100.0,2024-05-02,2024-05-18,2024-06-18,2024-07-07,2024-10-14,2024-11-25,25.539258,85.208733,2024-09-25,Satisfactory,Executive Engineer - PWD (Demo),2,3,5,False,,,,True
MPLAD-WRK-000044,Karnataka,Dharwad,Dharwad Parliamentary Constituency,MP-LOK-DEMO-013,Lok Sabha (Demo),Construction of Over-Head Water Storage Tank and Distribution Pipeline in Hubballi Urban Sector-8,Drinking Water,AGY-SYNTH-0110,Dharwad Irrigation & Flood Management Dept (Demo) Unit-5,Completed,584263.88,566255.95,566255.95,553378.24,100.0,2024-11-06,2024-12-23,2025-01-27,2025-02-26,2025-09-22,2025-09-05,15.410538,75.063372,2025-06-16,Excellent,Independent Quality Assessor (Demo),2,6,7,False,,,,True
MPLAD-WRK-000045,Uttar Pradesh,Kanpur Nagar,Kanpur Parliamentary Constituency,MP-RAJ-DEMO-018,Rajya Sabha (Demo),Deployment of Solar Powered LED Street Lights along Main Road connecting Govind Nagar Sector-8 to Govind Nagar Village-7,Renewable & Solar Energy,AGY-SYNTH-0177,Kanpur Nagar Zilla Parishad Engineering Division (Demo) Unit-2,In Progress,671154.57,666894.37,409320.68,353675.0,61.9,2022-10-27,2022-11-11,2022-12-23,2023-01-13,2023-05-24,,26.523154,80.352989,2023-02-10,Good,Technical Auditor - State Quality Monitor (Demo),1,2,5,False,,,,True
MPLAD-WRK-000046,Rajasthan,Ajmer,Ajmer Parliamentary Constituency,MP-LOK-DEMO-025,Lok Sabha (Demo),Installation of Community Water Purification and Dispensing Unit at Beawar Sector-10,Drinking Water,AGY-SYNTH-0252,Ajmer State Sports Infrastructure Authority (Demo) Unit-2,Work Order Issued,838224.84,838171.07,125725.66,62862.83,0.0,2024-11-30,2025-01-26,2025-02-27,2025-03-25,2025-07-31,,26.506374,74.59207,,,,0,1,1,False,,,,True
MPLAD-WRK-000047,Odisha,Khordha,Bhubaneswar Parliamentary Constituency,MP-LOK-DEMO-049,Lok Sabha (Demo),Procurement of Diagnostic Imaging & Ultrasound Unit for Sub-District Hospital at Jatni Sector-11,Health & Sanitation,AGY-SYNTH-0210,Khordha Public Works Dept (Demo) Unit-5,Stalled,1397041.34,1368308.5,273661.7,255181.76,35.8,2024-02-08,2024-03-12,2024-04-12,2024-04-25,2024-10-12,,20.354514,85.824572,2024-06-09,Excellent,Executive Engineer - PWD (Demo),1,2,6,True,STALLED_WORK,Stalled project: Target completion date (2024-10-12) elapsed with progress stuck at 35.8% and no physical updates for over 200 days.,,True
MPLAD-WRK-000048,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,MP-LOK-DEMO-021,Lok Sabha (Demo),Installation of RO Clean Drinking Water Plant at Chaksu Sector-5,Drinking Water,AGY-SYNTH-0109,Jaipur Irrigation & Flood Management Dept (Demo) Unit-4,Completed,1228203.7,1216338.67,1216338.67,1194568.4,100.0,2023-02-19,2023-04-06,2023-04-21,2023-05-05,2023-10-20,2023-11-23,26.8381,75.792367,2023-06-04,Good,Assistant Executive Engineer - Rural Works (Demo),1,6,7,False,,,,True
